"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Kade","1281638$21.61%1.28m","51.02%","-","75.06%","309.8",""
"Crox","724256$12.21%724.3k","45.62%","60","43.12%","175.1",""
"Bandakar","414437$6.99%414.4k","31.72%","58","29.05%","100.2",""
"Furckinstein","309642$5.22%309.6k","34.61%","59","21.73%","74.8",""
"Darunor","251539$4.24%251.5k","22.03%","-","16.89%","60.8",""
"Akecheta","207256$3.49%207.3k","10.85%","-","13.68%","50.1",""
"Chainguin","197260$3.33%197.3k","9.10%","59","15.07%","47.7",""
"Trike","190212$3.21%190.2k","6.09%","-","12.13%","46.0",""
"Kirilov","184516$3.11%184.5k","7.99%","-","13.11%","44.6",""
"Deadstrike","177323$2.99%177.3k","7.16%","-","12.38%","42.9",""
"Flatzz","175493$2.96%175.5k","4.22%","56","10.98%","42.4",""
"Trii","162410$2.74%162.4k","9.71%","61","10.70%","39.3",""
"Ultimecia","106754$1.80%106.8k","9.92%","61","2.89%","25.8",""
"Gonz","93813$1.58%93.8k","10.46%","-","4.41%","22.7",""
"Ghazan","93534$1.58%93.5k","10.74%","58","5.83%","22.6",""
"Phugoid","90464$1.52%90.5k","8.57%","61","3.11%","21.9",""
"Nakur","89529$1.51%89.5k","11.88%","-","2.47%","21.6",""
"Pythagorean","87676$1.48%87.7k","3.58%","59","1.03%","21.2",""
"Deyn","84893$1.43%84.9k","8.98%","-","3.46%","20.5",""
"Milku","81473$1.37%81.5k","7.97%","60","3.64%","19.7",""
"Disk","80533$1.36%80.5k","11.26%","60","3.08%","19.5",""
"Mexius","75364$1.27%75.4k","9.14%","-","1.31%","18.2",""
"Dietolive","73139$1.23%73.1k","5.32%","-","3.62%","17.7",""
"Fossett","70776$1.19%70.8k","12.30%","60","1.33%","17.1",""
"Montgomery","67887$1.14%67.9k","2.00%","49","2.38%","16.4",""
"Cavander","66482$1.12%66.5k","5.32%","60","1.61%","16.1",""
"Mogs","65929$1.11%65.9k","5.74%","59","1.61%","15.9",""
"Parsonbrown","63975$1.08%64.0k","2.78%","52","1.07%","15.5",""
"Biccboii","63030$1.06%63.0k","6.51%","60","1.65%","15.2",""
"Necrohealya","62035$1.05%62.0k","11.24%","62","1.48%","15.0",""
"Melven","51937$0.88%51.9k","9.46%","61","1.61%","12.6",""
"Grimseeker","51369$0.87%51.4k","4.98%","61","0.93%","12.4",""
"Ishney","46929$0.79%46.9k","9.20%","52","0.95%","11.3",""
"Jiero","45520$0.77%45.5k","7.98%","63","0.54%","11.0",""
"Valara","43072$0.73%43.1k","14.56%","-","2.32%","10.4",""
