"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Crox","563627$17.65%563.6k","56.06%","-","68.69%","317.3",""
"Darunor","370969$11.62%371.0k","41.07%","-","40.82%","208.9",""
"Bandakar","163498$5.12%163.5k","48.56%","-","25.94%","92.0",""
"Furckinstein","151152$4.73%151.2k","48.35%","60","28.46%","85.1",""
"Changó","109457$3.43%109.5k","21.97%","-","16.99%","61.6",""
"Muhhgi","105838$3.31%105.8k","4.75%","59","16.26%","59.6",""
"Akecheta","105309$3.30%105.3k","8.48%","-","16.11%","59.3",""
"Dankling","98111$3.07%98.1k","2.54%","50","18.77%","55.2",""
"Spindle","97844$3.06%97.8k","3.82%","55","15.93%","55.1",""
"Danty","95506$2.99%95.5k","6.50%","61","13.73%","53.8",""
"Kirilov","95032$2.98%95.0k","10.69%","-","18.91%","53.5",""
"Overbit","90475$2.83%90.5k","8.25%","60","19.88%","50.9",""
"Impervious","84668$2.65%84.7k","4.70%","-","13.10%","47.7",""
"Minuteman","83780$2.62%83.8k","2.93%","58","15.60%","47.2",""
"Deadstrike","78190$2.45%78.2k","8.84%","59","15.68%","44.0",""
"Chainguin","67623$2.12%67.6k","14.70%","-","14.93%","38.1",""
"Nakur","52255$1.64%52.3k","6.85%","62","6.66%","29.4",""
"Ultimecia","49901$1.56%49.9k","7.42%","64","4.80%","28.1",""
"Trii","45627$1.43%45.6k","8.50%","61","3.82%","25.7",""
"Trike","40624$1.27%40.6k","11.51%","-","3.96%","22.9",""
"Enders","40202$1.26%40.2k","1.99%","60","5.20%","22.6",""
"Gonz","39864$1.25%39.9k","17.27%","63","4.05%","22.4",""
"Dietolive","37958$1.19%38.0k","4.20%","59","4.41%","21.4",""
"Mogs","36900$1.16%36.9k","8.76%","-","2.88%","20.8",""
"Milku","33123$1.04%33.1k","12.81%","62","2.27%","18.6",""
"Pythagorean","33111$1.04%33.1k","14.15%","-","2.32%","18.6",""
"Cavander","32719$1.02%32.7k","14.74%","62","4.22%","18.4",""
"Funk","32432$1.02%32.4k","11.46%","60","2.25%","18.3",""
"Hoebowjoe","32308$1.01%32.3k","7.22%","61","1.29%","18.2",""
"Mexius","29408$0.92%29.4k","13.67%","62","2.95%","16.6",""
"Necrohealya","28406$0.89%28.4k","16.77%","-","2.67%","16.0",""
"Ghazan","26546$0.83%26.5k","11.09%","60","3.12%","14.9",""
"Phugoid","26207$0.82%26.2k","28.41%","61","2.87%","14.8",""
"Derka","26021$0.81%26.0k","5.85%","62","3.02%","14.6",""
"Jiero","25921$0.81%25.9k","15.29%","66","1.75%","14.6",""
"Grimmeat","24265$0.76%24.3k","17.01%","55","2.42%","13.7",""
"Ishney","23536$0.74%23.5k","1.12%","58","1.70%","13.3",""
"Ezri","22855$0.72%22.9k","6.34%","58","2.10%","12.9",""
"Fossett","19857$0.62%19.9k","12.66%","62","2.63%","11.2",""
"Deyn","19496$0.61%19.5k","3.31%","62","1.65%","11.0",""
"Undercity Guardian","11132$0.35%11.1k","21.52%","-","0.67%","6.3",""
"Karlov","4565$0.14%4.6k","14.99%","59","0.74%","2.6",""
"Talthanol","4504$0.14%4.5k","0.44%","58","0.00%","2.5",""
"Rácheál","4298$0.13%4.3k","5.04%","61","0.00%","2.4",""
"Kawrant","4121$0.13%4.1k","23.76%","56","0.64%","2.3",""
"Gul","4085$0.13%4.1k","7.68%","61","0.55%","2.3",""
"Nothernsleen","3724$0.12%3.7k","4.51%","59","1.33%","2.1",""
"Cornmeal","2929$0.09%2.9k","14.43%","62","0.00%","1.6",""
"Wau","2890$0.09%2.9k","7.81%","57","0.00%","1.6",""
"Divamomo","2664$0.08%2.7k","5.36%","56","0.00%","1.5",""
"Zwalker","2601$0.08%2.6k","29.24%","59","0.00%","1.5",""
"Bombtrack","2317$0.07%2.3k","8.49%","63","0.00%","1.3",""
"Thundermace","2047$0.06%2.0k","7.38%","60","0.00%","1.2",""
"Zenithuus","953$0.03%953.0","4.80%","22","0.00%","0.5",""
"Enso","46$0.00%46.0","-","58","0.00%","0.0",""
