"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"40","Kurtz","1445059$5.82%1.45m","-","47","62.31%","241.1",""
"31","Jáx","1298472$5.23%1.30m","-","41","55.82%","216.6",""
"21","Parisshelton","1256367$5.06%1.26m","70","33","55.94%","209.6",""
"31","Duhd","1241593$5.00%1.24m","-","39","52.56%","207.1",""
"22","Deadstrike","1220970$4.91%1.22m","-","28","56.92%","203.7",""
"27","Akecheta","1214791$4.89%1.21m","-","32","52.69%","202.6",""
"28","Kirilov","1210333$4.87%1.21m","74","31","46.46%","201.9",""
"22","Synergy","1185790$4.77%1.19m","-","30","52.49%","197.8",""
"41","Jiero","1155347$4.65%1.16m","-","39","58.20%","192.7",""
"28","Flatzz","1124440$4.53%1.12m","-","35","63.32%","187.6",""
"24","Irisviiel","1050801$4.23%1.05m","-","27","53.41%","175.3",""
"23","Stankdik","1050206$4.23%1.05m","-","28","38.76%","175.2",""
"21","Dohvyk","1038475$4.18%1.04m","-","21","51.57%","173.2",""
"22","Dietolive","1001126$4.03%1.00m","-","24","45.60%","167.0",""
"17","Melven","989852$3.98%989.9k","67","29","50.64%","165.1",""
"44","Guliveris","908314$3.66%908.3k","-","47","53.27%","151.5",""
"27","Gaunz","881226$3.55%881.2k","-","35","43.17%","147.0",""
"32","Bandakar","878112$3.53%878.1k","-","38","60.90%","146.5",""
"32","Furckinstein","851920$3.43%851.9k","-","34","46.49%","142.1",""
"12","Ishney","841583$3.39%841.6k","-","12","45.27%","140.4",""
"20","Seadub","835191$3.36%835.2k","-","22","35.64%","139.3",""
"58","Pemberstone","676278$2.72%676.3k","-","57","50.85%","112.8",""
"7","Ugara","629263$2.53%629.3k","-","9","46.22%","105.0",""
"30","Mortifier","553997$2.23%554.0k","-","32","54.30%","92.4",""
"94","Ghazan","58688$0.24%58.7k","-","95","4.14%","9.8",""
"85","Necrohealya","46942$0.19%46.9k","-","86","5.80%","7.8",""
"85","Drhealsgood","41631$0.17%41.6k","65","87","9.61%","6.9",""
"83","Pythagorean","35632$0.14%35.6k","-","84","6.63%","5.9",""
"5","Urumettu","26270$0.11%26.3k","72","5","0.87%","4.4",""
"84","Eighchbar","22454$0.09%22.5k","-","85","2.30%","3.7",""
"74","Drgupta","20328$0.08%20.3k","67","79","3.55%","3.4",""
"67","Wangcake","18955$0.08%19.0k","74","66","2.73%","3.2",""
"69","Milku","13832$0.06%13.8k","-","69","0.00%","2.3",""
"36","Lavain","7428$0.03%7.4k","68","43","1.80%","1.2",""
"54","Tauraheim","6615$0.03%6.6k","-","55","2.25%","1.1",""
"59","Lumieux","6355$0.03%6.4k","66","64","1.33%","1.1",""
"46","Slecht","4267$0.02%4.3k","70","48","1.15%","0.7",""
