"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Crox","112428$26.44%112.4k","45.79%","62","43.21%","253.7",""
"Furckinstein","49896$11.74%49.9k","51.60%","61","19.64%","112.6",""
"Darunor","34588$8.14%34.6k","33.27%","60","9.49%","78.0",""
"Gonz","17615$4.14%17.6k","11.70%","63","4.12%","39.7",""
"Fossett","16549$3.89%16.5k","7.74%","58","1.82%","37.3",""
"Deyn","14638$3.44%14.6k","14.44%","60","1.65%","33.0",""
"Flatzz","13593$3.20%13.6k","13.60%","61","0.90%","30.7",""
"Changó","12119$2.85%12.1k","4.50%","62","0.00%","27.3",""
"Danty","11764$2.77%11.8k","2.67%","61","1.03%","26.5",""
"Overbit","11009$2.59%11.0k","3.89%","60","0.82%","24.8",""
"Deadstrike","9233$2.17%9.2k","3.84%","59","1.00%","20.8",""
"Necrohealya","8962$2.11%9.0k","19.05%","61","1.38%","20.2",""
"Grimseeker","8895$2.09%8.9k","-","64","1.90%","20.1",""
"Minuteman","8507$2.00%8.5k","8.05%","58","1.28%","19.2",""
"Dankling","8171$1.92%8.2k","24.01%","55","1.64%","18.4",""
"Trii","7710$1.81%7.7k","10.32%","61","2.78%","17.4",""
"Impervious","7602$1.79%7.6k","-","58","0.00%","17.2",""
"Kirilov","6693$1.57%6.7k","7.23%","63","0.00%","15.1",""
"Milku","6593$1.55%6.6k","21.62%","60","0.54%","14.9",""
"Nakur","6405$1.51%6.4k","13.01%","62","0.00%","14.5",""
"Akecheta","6350$1.49%6.4k","11.16%","60","1.10%","14.3",""
"Ultimecia","6102$1.44%6.1k","13.16%","64","0.00%","13.8",""
"Muhhgi","5980$1.41%6.0k","4.18%","60","0.00%","13.5",""
"Hoebowjoe","5785$1.36%5.8k","2.49%","-","1.00%","13.1",""
"Enders","5687$1.34%5.7k","-","61","0.00%","12.8",""
"Disk","5480$1.29%5.5k","-","61","0.00%","12.4",""
"Mexius","5108$1.20%5.1k","18.31%","60","1.44%","11.5",""
"Phugoid","3999$0.94%4.0k","6.15%","-","0.00%","9.0",""
"Dietolive","3931$0.92%3.9k","12.45%","60","0.72%","8.9",""
"Ghazan","3779$0.89%3.8k","-","-","0.00%","8.5",""
