"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"72","Milku","1021601$9.90%1.02m","44.74%","-","69","71.40%","184.6",""
"42","Wangcake","915641$8.88%915.6k","36.40%","74","40","58.55%","165.5",""
"40","Pythagorean","877712$8.51%877.7k","29.17%","-","48","54.11%","158.6",""
"39","Deyn","809234$7.84%809.2k","29.69%","-","50","41.92%","146.2",""
"63","Eighchbar","803972$7.79%804.0k","37.56%","-","70","56.74%","145.3",""
"31","Drgupta","774890$7.51%774.9k","33.88%","67","44","49.45%","140.0",""
"59","Slecht","728349$7.06%728.3k","35.92%","70","69","59.80%","131.6",""
"22","Lavain","707198$6.86%707.2k","39.96%","68","36","49.70%","127.8",""
"21","Necrohealya","701006$6.80%701.0k","40.79%","70","30","63.86%","126.7",""
"53","Tauraheim","668853$6.48%668.9k","45.27%","-","57","56.42%","120.9",""
"17","Ghazan","667842$6.47%667.8k","28.29%","-","20","38.87%","120.7",""
"24","Lumieux","667621$6.47%667.6k","35.06%","66","42","53.85%","120.7",""
"76","Gaunz","79368$0.77%79.4k","3.15%","-","75","3.23%","14.3",""
"76","Dietolive","70557$0.68%70.6k","1.69%","-","72","1.44%","12.8",""
"77","Guliveris","57209$0.55%57.2k","21.18%","-","79","38.74%","10.3",""
"71","Decimous","54541$0.53%54.5k","33.07%","-","72","36.85%","9.9",""
"71","Akecheta","53987$0.52%54.0k","28.32%","-","70","38.50%","9.8",""
"68","Ultimecia","53419$0.52%53.4k","12.64%","-","69","1.88%","9.7",""
"83","Kirilov","47934$0.46%47.9k","38.15%","74","83","17.07%","8.7",""
"75","Bandakar","43619$0.42%43.6k","26.91%","-","75","31.16%","7.9",""
"76","Synergy","42903$0.42%42.9k","17.00%","-","75","3.61%","7.8",""
"61","Furckinstein","39842$0.39%39.8k","31.78%","-","60","34.72%","7.2",""
"57","Changó","38338$0.37%38.3k","33.93%","-","57","30.75%","6.9",""
"56","Flatzz","35137$0.34%35.1k","24.80%","-","58","31.84%","6.4",""
"56","Dohvyk","32890$0.32%32.9k","33.89%","-","55","33.26%","5.9",""
"71","Pemberstone","31870$0.31%31.9k","27.90%","-","74","3.90%","5.8",""
"75","Deadstrike","29877$0.29%29.9k","49.10%","-","74","15.72%","5.4",""
"54","Seadub","27828$0.27%27.8k","5.68%","71","50","0.82%","5.0",""
"79","Ishney","25952$0.25%26.0k","-","-","79","0.88%","4.7",""
"87","Irisviiel","23720$0.23%23.7k","-","-","88","0.00%","4.3",""
"80","Kurtz","23352$0.23%23.4k","0.90%","72","80","1.41%","4.2",""
"79","Ugara","22290$0.22%22.3k","4.33%","67","78","0.94%","4.0",""
"86","Jiero","20476$0.20%20.5k","-","-","86","0.97%","3.7",""
"71","Stankdik","20092$0.19%20.1k","-","-","71","0.73%","3.6",""
"69","Jáx","18132$0.18%18.1k","0.21%","-","64","0.73%","3.3",""
"63","Mortifier","17826$0.17%17.8k","24.75%","-","61","1.48%","3.2",""
"73","Parisshelton","17644$0.17%17.6k","-","70","68","0.60%","3.2",""
"59","Melven","16845$0.16%16.8k","1.46%","66","51","0.86%","3.0",""
"73","Urumettu","15695$0.15%15.7k","-","-","71","0.00%","2.8",""
"69","Duhd","10763$0.10%10.8k","-","-","59","0.71%","1.9",""
