"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Crox","497554$11.72%497.6k","54.09%","-","54.72%","201.4",""
"Pemberstone","411075$9.69%411.1k","46.99%","-","44.86%","166.4",""
"Guliveris","399748$9.42%399.7k","48.75%","-","50.33%","161.8",""
"Bandakar","295591$6.97%295.6k","47.80%","-","33.02%","119.6",""
"Furckinstein","191707$4.52%191.7k","16.59%","68","21.86%","77.6",""
"Akecheta","185932$4.38%185.9k","9.18%","-","20.28%","75.3",""
"Flatzz","162747$3.83%162.7k","11.02%","-","19.28%","65.9",""
"Dohvyk","161151$3.80%161.2k","14.24%","-","17.63%","65.2",""
"Changó","150671$3.55%150.7k","34.88%","-","17.26%","61.0",""
"Dïrty","145472$3.43%145.5k","10.63%","63","18.26%","58.9",""
"Deadstrike","112098$2.64%112.1k","9.01%","69","15.77%","45.4",""
"Synergy","111850$2.64%111.9k","8.43%","68","15.07%","45.3",""
"Ultimecia","99336$2.34%99.3k","7.54%","72","9.25%","40.2",""
"Joepesci","98416$2.32%98.4k","7.81%","-","11.43%","39.8",""
"Stankdik","96027$2.26%96.0k","10.94%","71","12.92%","38.9",""
"Seadub","83362$1.96%83.4k","8.01%","70","7.45%","33.7",""
"Jáx","59663$1.41%59.7k","12.02%","66","5.17%","24.1",""
"Dietolive","59304$1.40%59.3k","7.83%","70","4.70%","24.0",""
"Deyn","58623$1.38%58.6k","8.39%","70","3.85%","23.7",""
"Gaunz","57319$1.35%57.3k","5.15%","68","3.05%","23.2",""
"Jiero","51616$1.22%51.6k","20.78%","-","4.94%","20.9",""
"Milku","51318$1.21%51.3k","10.81%","71","2.37%","20.8",""
"Yunghelga","51293$1.21%51.3k","10.69%","69","4.25%","20.8",""
"Duhd","49338$1.16%49.3k","7.48%","-","3.38%","20.0",""
"Irisviiel","47629$1.12%47.6k","12.54%","72","3.09%","19.3",""
"Slecht","47162$1.11%47.2k","11.12%","69","3.46%","19.1",""
"Ghazan","46027$1.08%46.0k","13.93%","-","4.27%","18.6",""
"Shelton","45553$1.07%45.6k","18.41%","69","3.15%","18.4",""
"Parisshelton","44896$1.06%44.9k","5.56%","70","2.72%","18.2",""
"Wangcake","44634$1.05%44.6k","11.06%","71","1.64%","18.1",""
"Fossett","42737$1.01%42.7k","12.17%","71","3.70%","17.3",""
"Tauraheim","42580$1.00%42.6k","7.02%","-","2.45%","17.2",""
"Tumblebug","41956$0.99%42.0k","9.68%","70","4.43%","17.0",""
"Eighchbar","40385$0.95%40.4k","2.91%","70","2.56%","16.3",""
"Necrohealya","38866$0.92%38.9k","9.45%","71","1.96%","15.7",""
"Dryrun","34777$0.82%34.8k","13.09%","68","2.11%","14.1",""
"Ishney","31090$0.73%31.1k","14.01%","73","1.84%","12.6",""
"Pythagorean","29778$0.70%29.8k","4.72%","70","0.84%","12.1",""
"Urumettu","24538$0.58%24.5k","10.24%","67","2.65%","9.9",""
