"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Bandakar","565070$12.20%565.1k","49.69%","-","56.07%","222.8",""
"Pemberstone","528951$11.42%529.0k","56.11%","-","53.87%","208.6",""
"Guliveris","389933$8.42%389.9k","48.24%","-","42.01%","153.8",""
"Mortifier","365994$7.90%366.0k","54.45%","-","37.34%","144.3",""
"Akecheta","223379$4.82%223.4k","15.75%","-","22.06%","88.1",""
"Flatzz","185831$4.01%185.8k","16.68%","-","17.70%","73.3",""
"Dohvyk","183517$3.96%183.5k","14.48%","-","24.63%","72.4",""
"Synergy","144195$3.11%144.2k","10.37%","75","19.48%","56.9",""
"Renke","135164$2.92%135.2k","12.14%","64","17.63%","53.3",""
"Sepitus","134580$2.91%134.6k","11.75%","66","15.81%","53.1",""
"Gaunz","132016$2.85%132.0k","7.79%","73","10.08%","52.1",""
"Deadstrike","121633$2.63%121.6k","18.13%","74","20.66%","48.0",""
"Accessdenied","118607$2.56%118.6k","9.91%","72","17.96%","46.8",""
"Nimda","116181$2.51%116.2k","9.25%","69","17.16%","45.8",""
"Ultimecia","114571$2.47%114.6k","6.19%","-","8.76%","45.2",""
"Melow","90811$1.96%90.8k","13.79%","68","10.87%","35.8",""
"Ghazan","88586$1.91%88.6k","16.06%","73","7.34%","34.9",""
"Olom","84874$1.83%84.9k","7.67%","-","7.00%","33.5",""
"Drgupta","64440$1.39%64.4k","10.79%","70","6.25%","25.4",""
"Irisviiel","63587$1.37%63.6k","18.90%","77","3.17%","25.1",""
"Milku","60978$1.32%61.0k","13.33%","-","2.87%","24.0",""
"Eighchbar","59822$1.29%59.8k","8.06%","71","3.34%","23.6",""
"Parisshelton","57079$1.23%57.1k","9.97%","-","3.89%","22.5",""
"Dieto","55695$1.20%55.7k","7.21%","-","2.29%","22.0",""
"Lumieux","55652$1.20%55.7k","8.81%","71","2.33%","21.9",""
"Wangcake","52301$1.13%52.3k","10.06%","74","2.72%","20.6",""
"Melven","52125$1.13%52.1k","6.89%","70","2.42%","20.6",""
"Muja","50831$1.10%50.8k","16.30%","-","3.44%","20.0",""
"Tauraheim","48858$1.05%48.9k","18.29%","-","4.20%","19.3",""
"Shamallama","47923$1.03%47.9k","6.67%","-","2.51%","18.9",""
"Ishney","45554$0.98%45.6k","18.89%","-","2.28%","18.0",""
"Slecht","44250$0.96%44.3k","15.21%","71","2.44%","17.5",""
"Necrohealya","42209$0.91%42.2k","13.27%","75","1.63%","16.6",""
"Nanahanapan","39739$0.86%39.7k","10.19%","62","1.84%","15.7",""
"Pythagorean","36120$0.78%36.1k","5.83%","75","1.23%","14.2",""
"Urumettu","30235$0.65%30.2k","6.26%","74","2.72%","11.9",""
