"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"41","Milku","629701$11.67%629.7k","31.89%","60","53","71.12%","152.2",""
"24","Deyn","611812$11.34%611.8k","25.30%","-","29","48.03%","147.9",""
"49","Disk","590300$10.94%590.3k","21.91%","60","68","59.06%","142.7",""
"33","Phugoid","527226$9.77%527.2k","37.15%","61","43","63.22%","127.4",""
"11","Ghazan","497818$9.22%497.8k","18.87%","58","18","40.05%","120.3",""
"34","Pythagorean","486978$9.02%487.0k","23.77%","59","51","47.86%","117.7",""
"20","Gonz","432303$8.01%432.3k","12.74%","-","18","31.68%","104.5",""
"23","Nakur","394767$7.31%394.8k","45.28%","-","39","67.20%","95.4",""
"10","Montgomery","379808$7.04%379.8k","29.19%","49","-","38.63%","91.8",""
"12","Necrohealya","315506$5.85%315.5k","29.28%","62","15","36.46%","76.3",""
"18","Darunor","129355$2.40%129.4k","27.05%","-","26","14.49%","31.3",""
"91","Ultimecia","60237$1.12%60.2k","23.78%","61","91","50.62%","14.6",""
"80","Kirilov","32716$0.61%32.7k","24.78%","-","83","9.96%","7.9",""
"86","Dietolive","27562$0.51%27.6k","17.69%","-","88","37.44%","6.7",""
"80","Mexius","26026$0.48%26.0k","10.46%","-","81","4.32%","6.3",""
"83","Mogs","23258$0.43%23.3k","1.06%","59","82","0.57%","5.6",""
"74","Trike","23136$0.43%23.1k","21.90%","-","78","40.49%","5.6",""
"79","Kade","22725$0.42%22.7k","13.54%","-","80","2.96%","5.5",""
"79","Biccboii","22070$0.41%22.1k","3.57%","60","76","1.26%","5.3",""
"83","Cavander","16328$0.30%16.3k","10.29%","60","83","6.59%","3.9",""
"48","Crox","16270$0.30%16.3k","13.32%","60","52","0.88%","3.9",""
"65","Flatzz","15406$0.29%15.4k","10.83%","56","77","1.64%","3.7",""
"93","Jiero","13414$0.25%13.4k","-","63","93","0.71%","3.2",""
"59","Fossett","13052$0.24%13.1k","-","60","59","0.00%","3.2",""
"84","Valara","12232$0.23%12.2k","-","-","85","0.65%","3.0",""
"93","Grimseeker","12112$0.22%12.1k","-","61","94","0.00%","2.9",""
"80","Trii","12013$0.22%12.0k","15.56%","61","83","1.05%","2.9",""
"66","Chainguin","10581$0.20%10.6k","19.73%","59","72","25.46%","2.6",""
"69","Deadstrike","10384$0.19%10.4k","14.05%","-","74","0.72%","2.5",""
"92","Parsonbrown","9024$0.17%9.0k","1.55%","52","93","0.72%","2.2",""
"64","Melven","6288$0.12%6.3k","-","61","62","0.00%","1.5",""
"89","Ishney","6226$0.12%6.2k","-","52","94","0.00%","1.5",""
"74","Akecheta","5274$0.10%5.3k","-","-","74","0.00%","1.3",""
"42","Bandakar","3552$0.07%3.6k","27.14%","58","48","0.00%","0.9",""
"43","Furckinstein","1500$0.03%1.5k","57.14%","59","43","0.00%","0.4",""
