"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"44","Dohvyk","942296$5.21%942.3k","-","40","75.68%","351.0",""
"42","Akecheta","871138$4.82%871.1k","-","41","76.05%","324.5",""
"47","Flatzz","867986$4.80%868.0k","-","59","78.93%","323.3",""
"64","Gaunz","855013$4.73%855.0k","70","68","62.88%","318.5",""
"51","Ultimecia","839431$4.64%839.4k","72","41","64.83%","312.7",""
"49","Changó","806385$4.46%806.4k","-","50","71.78%","300.4",""
"31","Pointed","805388$4.45%805.4k","-","43","71.34%","300.0",""
"40","Stankdik","788371$4.36%788.4k","-","40","69.74%","293.7",""
"51","Bandakar","777811$4.30%777.8k","-","52","78.96%","289.7",""
"74","Parisshelton","777004$4.30%777.0k","-","82","59.36%","289.4",""
"39","Synergy","755843$4.18%755.8k","70","39","67.73%","281.5",""
"82","Duhd","730493$4.04%730.5k","-","82","48.14%","272.1",""
"39","Jiera","693838$3.84%693.8k","-","68","71.46%","258.5",""
"65","Dryrun","671953$3.71%672.0k","67","72","63.17%","250.3",""
"48","Irisviiel","656836$3.63%656.8k","-","42","60.56%","244.7",""
"29","Dïrty","625983$3.46%626.0k","63","52","65.03%","233.2",""
"34","Urumettu","615699$3.40%615.7k","68","36","63.34%","229.3",""
"30","Kirilov","596034$3.30%596.0k","74","20","57.35%","222.0",""
"67","Jáx","594829$3.29%594.8k","-","71","47.25%","221.6",""
"52","Guliveris","578253$3.20%578.3k","-","58","78.56%","215.4",""
"28","Tumblebug","524422$2.90%524.4k","70","20","50.27%","195.3",""
"71","Pemberstone","521179$2.88%521.2k","-","77","78.89%","194.1",""
"19","Ishney","461457$2.55%461.5k","73","12","63.46%","171.9",""
"23","Spaghetties","433001$2.39%433.0k","61","57","41.19%","161.3",""
"12","Furkinstine","368344$2.04%368.3k","63","17","41.64%","137.2",""
"27","Crox","353276$1.95%353.3k","-","36","76.60%","131.6",""
"31","Necrohealya","342681$1.89%342.7k","-","37","50.18%","127.6",""
"43","Ghazan","210348$1.16%210.3k","-","41","24.54%","78.4",""
"92","Pythagorean","11272$0.06%11.3k","71","93","6.30%","4.2",""
"95","Slecht","4098$0.02%4.1k","69","95","3.13%","1.5",""
"-","Yunghelga","2310$0.01%2.3k","69","-","1.06%","0.9",""
"-","Tauraheim","1383$0.01%1.4k","-","-","0.71%","0.5",""
"-","Drgupta","1369$0.01%1.4k","65","-","0.00%","0.5",""
"-","Wangcake","576$0.00%576.0","72","-","0.00%","0.2",""
"88","Deyn","553$0.00%553.0","70","90","0.00%","0.2",""
"97","Enders","513$0.00%513.0","72","97","0.00%","0.2",""
"-","Eighchbar","477$0.00%477.0","70","-","0.00%","0.2",""
"-","Milku","57$0.00%57.0","72","-","0.00%","0.0",""
