"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"51","Nimda","1719625$5.58%1.72m","-","66","63.36%","366.6",""
"50","Akecheta","1548684$5.02%1.55m","-","50","71.14%","330.2",""
"46","Stankdik","1546758$5.02%1.55m","-","39","61.49%","329.8",""
"40","Dohvyk","1476812$4.79%1.48m","-","40","71.46%","314.9",""
"54","Gaunz","1442437$4.68%1.44m","-","49","54.76%","307.5",""
"33","Duhd","1387012$4.50%1.39m","-","31","60.57%","295.7",""
"43","Melven","1344069$4.36%1.34m","-","43","59.91%","286.6",""
"39","Synergy","1324734$4.30%1.32m","-","32","58.81%","282.4",""
"40","Seraf","1253334$4.06%1.25m","-","46","60.70%","267.2",""
"28","Melow","1184645$3.84%1.18m","70","37","59.19%","252.6",""
"53","Furckinstein","1184460$3.84%1.18m","-","47","71.07%","252.5",""
"49","Idunrunnin","1151093$3.73%1.15m","-","52","47.11%","245.4",""
"40","Trennard","1147068$3.72%1.15m","-","38","63.74%","244.6",""
"33","Ultimecia","1134753$3.68%1.13m","-","27","47.78%","241.9",""
"49","Irisviiel","1132535$3.67%1.13m","-","39","60.21%","241.5",""
"47","Guliveris","1092732$3.54%1.09m","-","51","63.27%","233.0",""
"35","Dietolive","1060157$3.44%1.06m","-","36","46.68%","226.0",""
"37","Bandakar","1059562$3.44%1.06m","-","42","59.80%","225.9",""
"27","Renke","1002076$3.25%1.00m","-","31","62.17%","213.7",""
"30","Garglegop","928542$3.01%928.5k","-","27","58.02%","198.0",""
"42","Oyster","927943$3.01%927.9k","-","46","40.66%","197.8",""
"33","Olom","832163$2.70%832.2k","-","40","44.81%","177.4",""
"22","Ishney","821840$2.66%821.8k","-","17","51.64%","175.2",""
"62","Pemberstone","733350$2.38%733.4k","-","57","52.95%","156.4",""
"32","Thoominn","663531$2.15%663.5k","-","49","41.43%","141.5",""
"42","Ratshot","589847$1.91%589.8k","-","53","35.30%","125.8",""
"23","Mortifier","520293$1.69%520.3k","-","24","55.22%","110.9",""
"35","Parisshelton","419065$1.36%419.1k","-","33","12.18%","89.3",""
"78","Ghazan","90989$0.30%91.0k","-","79","5.91%","19.4",""
"82","Pythagorean","27776$0.09%27.8k","-","80","3.56%","5.9",""
"82","Shamallama","21260$0.07%21.3k","72","84","6.08%","4.5",""
"79","Deyn","17044$0.06%17.0k","-","79","1.47%","3.6",""
"78","Slecht","13566$0.04%13.6k","71","81","1.84%","2.9",""
"62","Drgupta","10178$0.03%10.2k","71","68","1.91%","2.2",""
"51","Wangcake","9566$0.03%9.6k","77","47","1.68%","2.0",""
"63","Eighchbar","8426$0.03%8.4k","71","65","0.86%","1.8",""
"56","Tauraheim","5527$0.02%5.5k","74","55","0.95%","1.2",""
"74","Kasako","5222$0.02%5.2k","65","85","1.71%","1.1",""
"-","Zennifer","247$0.00%247.0","-","-","0.00%","0.1",""
"-","Khardrune","247$0.00%247.0","70","-","0.00%","0.1",""
"-","Dewbie","229$0.00%229.0","75","-","0.00%","0.0",""
"-","Jorvie","18$0.00%18.0","9","-","0.00%","0.0",""
"31","Johnnyxo","16$0.00%16.0","65","31","0.00%","0.0",""
"31","Lumieux","7$0.00%7.0","72","34","0.00%","0.0",""
