"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"19","Akecheta","480050$5.40%480.1k","-","17","69.31%","260.6",""
"20","Changó","448849$5.05%448.8k","66","15","66.18%","243.7",""
"7","Chingu","409968$4.61%410.0k","62","17","66.15%","222.6",""
"9","Overbit","377578$4.24%377.6k","62","21","54.32%","205.0",""
"6","Kirilov","370585$4.17%370.6k","-","9","66.61%","201.2",""
"9","Mogs","368954$4.15%369.0k","62","27","53.35%","200.3",""
"11","Muhhgi","363058$4.08%363.1k","-","10","57.78%","197.1",""
"6","Chainguin","361425$4.06%361.4k","-","8","67.89%","196.2",""
"6","Dankling","357380$4.02%357.4k","61","14","66.30%","194.0",""
"6","Deadstrike","352827$3.97%352.8k","-","10","67.65%","191.6",""
"8","Valara","347156$3.90%347.2k","-","16","62.90%","188.5",""
"6","Trii","337978$3.80%338.0k","67","7","58.45%","183.5",""
"9","Hoebowjoe","332423$3.74%332.4k","-","17","54.16%","180.5",""
"7","Jiero","322585$3.63%322.6k","-","11","61.94%","175.1",""
"8","Claudiu","321661$3.62%321.7k","-","14","51.59%","174.6",""
"7","Dirtypantiz","312784$3.52%312.8k","63","14","57.86%","169.8",""
"9","Danty","307988$3.46%308.0k","-","8","64.99%","167.2",""
"6","Slybanana","302800$3.40%302.8k","61","12","63.02%","164.4",""
"9","Cavander","288411$3.24%288.4k","65","15","60.95%","156.6",""
"8","Ultimecia","261140$2.94%261.1k","66","11","47.33%","141.8",""
"19","Bandakar","242240$2.72%242.2k","-","16","76.62%","131.5",""
"10","Mexius","241324$2.71%241.3k","-","15","61.15%","131.0",""
"4","Ahuntard","229845$2.58%229.8k","61","9","56.79%","124.8",""
"6","Pemberstone","210835$2.37%210.8k","-","6","66.16%","114.5",""
"14","Crox","208838$2.35%208.8k","-","14","79.45%","113.4",""
"5","Urumettu","195108$2.19%195.1k","-","22","42.53%","105.9",""
"12","Darunor","181158$2.04%181.2k","-","12","67.93%","98.4",""
"-","Razorgore the Untamed","162946$1.83%162.9k","-","-","2.57%","88.5",""
"7","Fossett","142817$1.61%142.8k","-","13","27.50%","77.5",""
"97","Ghazan","20874$0.23%20.9k","-","98","40.86%","11.3",""
"95","Phugoid","12370$0.14%12.4k","-","95","3.53%","6.7",""
"96","Peareyeuh","12158$0.14%12.2k","-","97","0.00%","6.6",""
"78","Pythagorean","2941$0.03%2.9k","-","83","0.00%","1.6",""
"95","Gonz","2143$0.02%2.1k","-","95","4.49%","1.2",""
"95","Tazdink","1364$0.02%1.4k","63","95","0.61%","0.7",""
"95","Milku","1296$0.01%1.3k","-","95","0.00%","0.7",""
"95","Necrohealya","930$0.01%930.0","67","93","0.00%","0.5",""
