"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Crox","83614$15.89%83.6k","44.42%","60","36.15%","183.0",""
"Furckinstein","56113$10.66%56.1k","52.68%","60","20.08%","122.8",""
"Danty","35509$6.75%35.5k","25.91%","61","7.53%","77.7",""
"Bandakar","23379$4.44%23.4k","50.35%","61","13.46%","51.2",""
"Changó","20437$3.88%20.4k","1.86%","62","3.48%","44.7",""
"Darunor","17290$3.29%17.3k","17.45%","59","3.54%","37.8",""
"Overbit","16768$3.19%16.8k","8.41%","60","3.90%","36.7",""
"Akecheta","16478$3.13%16.5k","2.08%","60","1.42%","36.1",""
"Muhhgi","14458$2.75%14.5k","6.86%","59","2.42%","31.6",""
"Pythagorean","13853$2.63%13.9k","4.35%","61","0.00%","30.3",""
"Necrohealya","12691$2.41%12.7k","2.02%","-","0.00%","27.8",""
"Impervious","11916$2.26%11.9k","3.12%","58","1.96%","26.1",""
"Deadstrike","11813$2.24%11.8k","2.96%","59","1.22%","25.8",""
"Jiero","11707$2.22%11.7k","10.11%","66","0.00%","25.6",""
"Fossett","11309$2.15%11.3k","-","62","1.69%","24.7",""
"Enders","11159$2.12%11.2k","5.47%","60","3.46%","24.4",""
"Minuteman","10918$2.07%10.9k","2.32%","58","0.00%","23.9",""
"Funk","10641$2.02%10.6k","12.51%","-","1.97%","23.3",""
"Chainguin","10578$2.01%10.6k","11.73%","61","0.00%","23.1",""
"Kirilov","10221$1.94%10.2k","1.35%","63","0.00%","22.4",""
"Phugoid","9865$1.87%9.9k","9.47%","61","0.00%","21.6",""
"Deyn","9615$1.83%9.6k","-","-","1.59%","21.0",""
"Ishney","8826$1.68%8.8k","15.55%","-","1.97%","19.3",""
"Ghazan","8577$1.63%8.6k","8.69%","60","2.03%","18.8",""
"Gonz","7819$1.49%7.8k","3.12%","63","2.21%","17.1",""
"Trii","7713$1.47%7.7k","4.14%","61","1.13%","16.9",""
"Vecnuh","6869$1.31%6.9k","5.11%","56","4.20%","15.0",""
"Derka","6818$1.30%6.8k","8.08%","-","1.11%","14.9",""
"Dietolive","6690$1.27%6.7k","12.26%","59","1.97%","14.6",""
"Hoebowjoe","6536$1.24%6.5k","-","61","0.00%","14.3",""
"Cavander","6432$1.22%6.4k","6.98%","62","1.59%","14.1",""
"Ultimecia","6116$1.16%6.1k","9.22%","64","1.69%","13.4",""
"Milku","5508$1.05%5.5k","15.91%","62","0.00%","12.1",""
"Mexius","5457$1.04%5.5k","15.51%","62","1.97%","11.9",""
"Nakur","2908$0.55%2.9k","15.17%","62","0.00%","6.4",""
"Zokk","2622$0.50%2.6k","15.80%","58","0.00%","5.7",""
"Skylizard","1264$0.24%1.3k","-","54","0.00%","2.8",""
"Mogs","1247$0.24%1.2k","-","61","0.00%","2.7",""
"Jondoe","1113$0.21%1.1k","-","51","4.28%","2.4",""
"Deathcrush","1086$0.21%1.1k","-","56","0.00%","2.4",""
"Enusmcferet","1004$0.19%1.0k","15.35%","58","0.00%","2.2",""
"Nyxkye","685$0.13%685.0","-","53","0.00%","1.5",""
"Consumed","536$0.10%536.0","3.94%","62","0.00%","1.2",""
"Vikrant","136$0.03%136.0","-","56","0.00%","0.3",""
"Necrocrypt","24$0.00%24.0","-","31","0.00%","0.1",""
