"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Crox","1183166$18.57%1.18m","51.50%","-","74.76%","318.9",""
"Darunor","819742$12.87%819.7k","43.60%","-","47.51%","221.0",""
"Furckinstein","392686$6.16%392.7k","43.50%","-","31.40%","105.9",""
"Flatzz","334192$5.25%334.2k","26.29%","60","27.14%","90.1",""
"Changó","261019$4.10%261.0k","25.77%","-","20.50%","70.4",""
"Muhhgi","252339$3.96%252.3k","16.18%","58","18.90%","68.0",""
"Akecheta","227253$3.57%227.3k","6.72%","-","17.27%","61.3",""
"Trike","188970$2.97%189.0k","8.52%","-","15.24%","50.9",""
"Impervious","187810$2.95%187.8k","9.10%","-","16.51%","50.6",""
"Overbit","179174$2.81%179.2k","8.96%","60","15.97%","48.3",""
"Deadstrike","170055$2.67%170.1k","4.99%","-","16.31%","45.8",""
"Kirilov","161468$2.53%161.5k","8.60%","-","16.22%","43.5",""
"Thicc","158680$2.49%158.7k","5.94%","58","16.37%","42.8",""
"Chainguin","147898$2.32%147.9k","9.40%","-","14.83%","39.9",""
"Trii","142675$2.24%142.7k","7.33%","61","10.60%","38.5",""
"Gonz","90814$1.43%90.8k","12.82%","63","3.89%","24.5",""
"Deyn","80029$1.26%80.0k","9.18%","62","4.68%","21.6",""
"Ghazan","79864$1.25%79.9k","12.51%","-","3.62%","21.5",""
"Fossett","77071$1.21%77.1k","10.22%","62","3.98%","20.8",""
"Milku","76849$1.21%76.8k","9.42%","62","2.21%","20.7",""
"Nakur","76368$1.20%76.4k","13.39%","-","2.97%","20.6",""
"Ultimecia","75255$1.18%75.3k","6.66%","-","3.10%","20.3",""
"Cavander","69366$1.09%69.4k","9.05%","62","3.28%","18.7",""
"Funk","62696$0.98%62.7k","5.01%","59","2.12%","16.9",""
"Disk","62566$0.98%62.6k","9.34%","61","2.24%","16.9",""
"Mexius","62073$0.97%62.1k","12.09%","-","2.13%","16.7",""
"Necrohealya","61227$0.96%61.2k","13.26%","62","3.02%","16.5",""
"Mogs","61022$0.96%61.0k","7.38%","62","2.12%","16.4",""
"Dietolive","60609$0.95%60.6k","5.21%","59","1.88%","16.3",""
"Saphex","60311$0.95%60.3k","7.08%","55","1.64%","16.3",""
"Grimmeat","60093$0.94%60.1k","11.63%","55","3.42%","16.2",""
"Enders","57644$0.90%57.6k","9.92%","60","2.07%","15.5",""
"Derka","56654$0.89%56.7k","10.24%","-","1.52%","15.3",""
"Pythagorean","56372$0.88%56.4k","10.33%","-","2.32%","15.2",""
"Hoebowjoe","50899$0.80%50.9k","6.51%","60","1.35%","13.7",""
"Jiero","48166$0.76%48.2k","11.01%","65","1.17%","13.0",""
"Melven","46628$0.73%46.6k","7.19%","60","1.35%","12.6",""
"Grimseeker","45741$0.72%45.7k","4.45%","-","1.74%","12.3",""
"Valara","44259$0.69%44.3k","8.86%","60","1.60%","11.9",""
"Ishney","41388$0.65%41.4k","5.71%","56","2.38%","11.2",""
