"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Crox","1028921$19.44%1.03m","53.74%","-","60.76%","278.9",""
"Bandakar","573806$10.84%573.8k","46.22%","-","40.34%","155.6",""
"Furckinstein","271802$5.14%271.8k","41.04%","-","22.57%","73.7",""
"Danty","257232$4.86%257.2k","37.63%","-","18.35%","69.7",""
"Flatzz","186750$3.53%186.8k","15.16%","59","11.35%","50.6",""
"Deadstrike","169858$3.21%169.9k","5.25%","58","15.97%","46.0",""
"Overbit","168682$3.19%168.7k","6.39%","60","13.67%","45.7",""
"Changó","164577$3.11%164.6k","6.49%","-","11.99%","44.6",""
"Muhhgi","157829$2.98%157.8k","4.81%","59","12.58%","42.8",""
"Minuteman","153315$2.90%153.3k","7.44%","58","14.49%","41.6",""
"Trii","147578$2.79%147.6k","6.12%","61","11.28%","40.0",""
"Chainguin","144329$2.73%144.3k","9.22%","-","13.57%","39.1",""
"Kirilov","128957$2.44%129.0k","13.62%","-","9.42%","35.0",""
"Gonz","127273$2.40%127.3k","11.75%","-","5.88%","34.5",""
"Thicc","127025$2.40%127.0k","4.41%","58","9.91%","34.4",""
"Trike","102605$1.94%102.6k","6.89%","-","8.68%","27.8",""
"Dankling","83762$1.58%83.8k","2.25%","48","10.38%","22.7",""
"Ultimecia","83595$1.58%83.6k","10.91%","62","2.14%","22.7",""
"Hoebowjoe","77176$1.46%77.2k","10.19%","59","4.17%","20.9",""
"Ghazan","75510$1.43%75.5k","23.51%","60","3.49%","20.5",""
"Deyn","71590$1.35%71.6k","4.54%","61","2.41%","19.4",""
"Akecheta","65696$1.24%65.7k","10.02%","-","2.55%","17.8",""
"Pythagorean","64361$1.22%64.4k","6.63%","-","0.97%","17.4",""
"Disk","63411$1.20%63.4k","6.44%","61","2.88%","17.2",""
"Dietolive","59848$1.13%59.8k","7.74%","59","2.64%","16.2",""
"Mexius","58242$1.10%58.2k","17.82%","-","2.10%","15.8",""
"Jiero","53987$1.02%54.0k","12.60%","65","2.29%","14.6",""
"Cavander","51800$0.98%51.8k","8.75%","61","0.58%","14.0",""
"Necrohealya","50368$0.95%50.4k","29.38%","62","2.28%","13.7",""
"Enders","49975$0.94%50.0k","23.57%","61","1.79%","13.5",""
"Tøes","49673$0.94%49.7k","14.26%","-","2.23%","13.5",""
"Nakur","49303$0.93%49.3k","13.79%","61","1.72%","13.4",""
"Fossett","49272$0.93%49.3k","13.64%","-","1.61%","13.4",""
"Funk","46934$0.89%46.9k","18.20%","-","1.31%","12.7",""
"Milku","46135$0.87%46.1k","15.21%","62","2.54%","12.5",""
"Grimseeker","45987$0.87%46.0k","6.98%","-","1.55%","12.5",""
"Trololololo","44990$0.85%45.0k","15.15%","60","1.58%","12.2",""
"Melven","42701$0.81%42.7k","9.81%","60","1.21%","11.6",""
"Mogs","36057$0.68%36.1k","13.84%","-","1.68%","9.8",""
"Valara","32287$0.61%32.3k","6.26%","-","0.83%","8.8",""
"Grimmeat","28862$0.55%28.9k","17.14%","-","1.66%","7.8",""
