"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"44","Deyn","570826$11.28%570.8k","38.67%","70","50","51.67%","210.5",""
"42","Drgupta","509281$10.07%509.3k","42.49%","67","58","63.12%","187.8",""
"44","Wangcake","482010$9.53%482.0k","44.03%","74","40","70.08%","177.7",""
"36","Ghazan","478587$9.46%478.6k","41.72%","-","37","51.63%","176.5",""
"62","Pythagorean","452843$8.95%452.8k","40.37%","-","63","60.97%","167.0",""
"65","Tauraheim","450014$8.90%450.0k","53.66%","-","64","75.37%","165.9",""
"54","Milku","441590$8.73%441.6k","56.53%","-","47","78.17%","162.8",""
"30","Shamallama","403442$7.97%403.4k","33.30%","67","42","41.49%","148.7",""
"33","Lavain","379613$7.50%379.6k","47.64%","-","44","55.92%","140.0",""
"22","Lumieux","349498$6.91%349.5k","43.45%","66","36","68.67%","128.9",""
"30","Slecht","302195$5.97%302.2k","47.78%","70","33","59.13%","111.4",""
"82","Parisshelton","21403$0.42%21.4k","-","-","82","3.31%","7.9",""
"57","Furckinstein","18918$0.37%18.9k","41.82%","-","54","48.82%","7.0",""
"90","Pemberstone","15855$0.31%15.9k","47.62%","-","89","6.84%","5.8",""
"58","Guliveris","15754$0.31%15.8k","46.66%","-","59","50.61%","5.8",""
"78","Synergy","15645$0.31%15.6k","30.53%","-","78","4.98%","5.8",""
"56","Dohvyk","15572$0.31%15.6k","48.57%","-","53","59.24%","5.7",""
"47","Flatzz","15498$0.31%15.5k","36.04%","-","48","50.13%","5.7",""
"71","Ultimecia","15042$0.30%15.0k","39.08%","-","71","0.53%","5.5",""
"79","Kirilov","13519$0.27%13.5k","59.05%","-","77","21.30%","5.0",""
"42","Changó","12799$0.25%12.8k","54.58%","-","40","51.40%","4.7",""
"44","Akecheta","12222$0.24%12.2k","61.69%","-","43","57.39%","4.5",""
"59","Bandakar","10250$0.20%10.3k","53.37%","-","62","37.95%","3.8",""
"55","Kurtz","9530$0.19%9.5k","-","72","56","1.82%","3.5",""
"80","Mortifier","7318$0.14%7.3k","56.81%","-","77","4.68%","2.7",""
"74","Hbar","6066$0.12%6.1k","47.95%","-","68","2.41%","2.2",""
"74","Irisviiel","6039$0.12%6.0k","16.23%","-","71","1.03%","2.2",""
"74","Deadstrike","6013$0.12%6.0k","71.91%","-","72","17.24%","2.2",""
"79","Pointed","5693$0.11%5.7k","-","-","74","0.90%","2.1",""
"70","Seadub","4557$0.09%4.6k","70.87%","-","71","0.00%","1.7",""
"69","Nimda","3917$0.08%3.9k","7.94%","-","69","0.00%","1.4",""
"-","Jáx","2596$0.05%2.6k","-","71","-","0.00%","1.0",""
"63","Ishney","1952$0.04%2.0k","47.95%","-","67","0.00%","0.7",""
"-","Gaunz","1440$0.03%1.4k","-","-","-","0.00%","0.5",""
"-","Ugara","1143$0.02%1.1k","-","-","-","0.00%","0.4",""
"7","Duhd","430$0.01%430.0","-","-","7","0.00%","0.2",""
