"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Crox","43182$15.38%43.2k","49.02%","-","26.03%","146.3",""
"Darunor","42669$15.20%42.7k","45.55%","60","26.02%","144.5",""
"Bandakar","39109$13.93%39.1k","31.57%","-","23.74%","132.5",""
"Mementomory","9050$3.22%9.1k","6.60%","56","4.95%","30.7",""
"Changó","8591$3.06%8.6k","4.79%","65","2.09%","29.1",""
"Danty","7778$2.77%7.8k","14.66%","61","1.52%","26.3",""
"Ultimecia","7151$2.55%7.2k","8.58%","64","0.69%","24.2",""
"Minuteman","6484$2.31%6.5k","22.83%","61","3.42%","22.0",""
"Gonz","6389$2.28%6.4k","-","65","0.00%","21.6",""
"Melven","6170$2.20%6.2k","15.40%","61","2.06%","20.9",""
"Impervious","6163$2.20%6.2k","37.28%","-","4.51%","20.9",""
"Claudiu","6119$2.18%6.1k","9.33%","62","0.68%","20.7",""
"Flatzz","6074$2.16%6.1k","7.37%","63","3.01%","20.6",""
"Chingu","5702$2.03%5.7k","-","-","0.00%","19.3",""
"Cavander","5483$1.95%5.5k","2.02%","62","0.00%","18.6",""
"Milku","5404$1.93%5.4k","1.98%","65","0.96%","18.3",""
"Fossett","5367$1.91%5.4k","-","64","0.00%","18.2",""
"Overbit","5109$1.82%5.1k","-","61","0.00%","17.3",""
"Trike","5029$1.79%5.0k","31.54%","63","5.37%","17.0",""
"Dankling","4901$1.75%4.9k","23.37%","57","2.74%","16.6",""
"Malores","4586$1.63%4.6k","-","58","0.00%","15.5",""
"Jiero","4158$1.48%4.2k","-","67","0.00%","14.1",""
"Furckinstein","4054$1.44%4.1k","37.97%","63","3.32%","13.7",""
"Chainguin","3822$1.36%3.8k","15.61%","64","0.00%","12.9",""
"Kirilov","3599$1.28%3.6k","2.76%","65","1.40%","12.2",""
"Eighchbar","3214$1.15%3.2k","-","58","0.00%","10.9",""
"Muhhgi","3180$1.13%3.2k","13.66%","61","0.55%","10.8",""
"Funk","3157$1.12%3.2k","11.86%","60","1.10%","10.7",""
"Trii","2943$1.05%2.9k","-","65","0.00%","10.0",""
"Akecheta","2921$1.04%2.9k","17.79%","64","2.07%","9.9",""
"Deadstrike","2880$1.03%2.9k","-","62","0.00%","9.8",""
"Valara","2362$0.84%2.4k","36.81%","63","1.64%","8.0",""
"Grimseeker","1995$0.71%2.0k","-","64","0.00%","6.8",""
"Phugoid","1617$0.58%1.6k","-","65","0.00%","5.5",""
"Pythagorean","1502$0.54%1.5k","-","62","0.00%","5.1",""
"Nakur","1404$0.50%1.4k","-","64","0.00%","4.8",""
"Deyn","1361$0.48%1.4k","-","64","0.00%","4.6",""
