"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"64","Ultimecia","989688$5.39%989.7k","64","57","64.27%","277.1",""
"48","Trike","829289$4.51%829.3k","-","45","66.09%","232.2",""
"29","Overbit","817951$4.45%818.0k","60","51","59.46%","229.0",""
"52","Dietolive","810309$4.41%810.3k","61","61","53.79%","226.9",""
"26","Hoebowjoe","748621$4.07%748.6k","-","29","53.15%","209.6",""
"42","Muhhgi","747132$4.07%747.1k","60","48","64.17%","209.2",""
"39","Cavander","723460$3.94%723.5k","62","39","54.29%","202.6",""
"29","Grimseeker","721815$3.93%721.8k","-","57","65.25%","202.1",""
"42","Jiero","713844$3.89%713.8k","-","43","62.10%","199.9",""
"37","Melven","704070$3.83%704.1k","60","50","47.15%","197.1",""
"37","Akecheta","673974$3.67%674.0k","61","34","65.29%","188.7",""
"21","Kirilov","668929$3.64%668.9k","64","19","53.98%","187.3",""
"16","Deadstrike","665108$3.62%665.1k","59","41","62.87%","186.2",""
"14","Saphex","637463$3.47%637.5k","60","20","50.61%","178.5",""
"15","Minuteman","624529$3.40%624.5k","58","42","55.01%","174.9",""
"30","Impervious","603266$3.28%603.3k","59","39","62.52%","168.9",""
"31","Flatzz","600050$3.27%600.1k","62","25","65.40%","168.0",""
"9","Thamir","567554$3.09%567.6k","-","21","58.13%","158.9",""
"42","Mexius","557561$3.03%557.6k","-","44","45.40%","156.1",""
"52","Pemberstone","554882$3.02%554.9k","-","40","51.53%","155.4",""
"10","Dankling","532595$2.90%532.6k","55","40","58.64%","149.1",""
"12","Trii","509184$2.77%509.2k","61","19","47.76%","142.6",""
"7","Chainguin","483179$2.63%483.2k","-","9","45.24%","135.3",""
"36","Fossett","456648$2.49%456.6k","63","27","44.43%","127.9",""
"7","Claudiu","445051$2.42%445.1k","-","10","38.11%","124.6",""
"31","Danty","433689$2.36%433.7k","-","28","60.26%","121.4",""
"8","Grimmeat","430744$2.34%430.7k","56","16","40.49%","120.6",""
"49","Crox","423677$2.31%423.7k","-","53","80.84%","118.6",""
"37","Darunor","330903$1.80%330.9k","-","38","60.61%","92.6",""
"17","Furckinstein","269226$1.47%269.2k","-","19","59.33%","75.4",""
"97","Phugoid","59968$0.33%60.0k","-","97","17.19%","16.8",""
"90","Derka","17359$0.09%17.4k","-","90","1.26%","4.9",""
"94","Gonz","12814$0.07%12.8k","63","94","6.15%","3.6",""
"89","Nakur","3134$0.02%3.1k","63","91","0.97%","0.9",""
"91","Enders","2896$0.02%2.9k","61","91","0.85%","0.8",""
"81","Tazdink","2324$0.01%2.3k","-","82","0.00%","0.7",""
"-","Deyn","476$0.00%476.0","-","-","0.00%","0.1",""
