"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"91","Milku","41427$16.40%41.4k","44.94%","65","87","84.09%","143.6",""
"52","Pythagorean","29576$11.71%29.6k","36.35%","61","71","70.70%","102.5",""
"65","Tazdink","25964$10.28%26.0k","2.13%","56","97","27.91%","90.0",""
"44","Eighchbar","24267$9.61%24.3k","29.35%","55","85","40.55%","84.1",""
"16","Phugoid","23887$9.46%23.9k","43.95%","64","14","56.51%","82.8",""
"39","Hii","22595$8.95%22.6k","18.05%","60","63","33.57%","78.3",""
"35","Necrohealya","21795$8.63%21.8k","42.66%","62","46","47.40%","75.5",""
"41","Deyn","19876$7.87%19.9k","37.24%","63","39","22.21%","68.9",""
"18","Derka","17685$7.00%17.7k","44.46%","64","16","37.80%","61.3",""
"95","Bandakar","3718$1.47%3.7k","3.13%","-","95","1.12%","12.9",""
"91","Grimmeat","3029$1.20%3.0k","-","58","92","0.00%","10.5",""
"94","Overbit","3008$1.19%3.0k","4.66%","61","94","3.38%","10.4",""
"81","Akecheta","1897$0.75%1.9k","16.80%","61","80","22.63%","6.6",""
"81","Changó","1804$0.71%1.8k","27.93%","64","80","24.99%","6.3",""
"78","Pemberstone","1620$0.64%1.6k","-","-","77","0.00%","5.6",""
"74","Deadstrike","1497$0.59%1.5k","27.92%","61","74","4.86%","5.2",""
"74","Kirilov","1427$0.56%1.4k","10.64%","65","73","2.61%","4.9",""
"69","Minuteman","1229$0.49%1.2k","-","61","69","0.00%","4.3",""
"50","Mexius","1200$0.48%1.2k","-","63","49","0.00%","4.2",""
"50","Cavander","1156$0.46%1.2k","64.05%","62","50","0.00%","4.0",""
"68","Flatzz","1133$0.45%1.1k","35.00%","62","65","10.74%","3.9",""
"63","Dankling","889$0.35%889.0","-","56","71","0.00%","3.1",""
"38","Ultimecia","847$0.34%847.0","53.54%","64","37","0.98%","2.9",""
"34","Muhhgi","340$0.13%340.0","65.13%","61","33","29.63%","1.2",""
"34","Furckinstein","322$0.13%322.0","33.88%","62","31","0.00%","1.1",""
"34","Danty","300$0.12%300.0","74.77%","64","32","15.42%","1.0",""
"20","Trike","100$0.04%100.0","64.29%","62","18","6.86%","0.3",""
