"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Crox","782047$16.95%782.0k","51.26%","-","61.46%","302.3",""
"Darunor","420543$9.12%420.5k","46.50%","-","41.17%","162.6",""
"Bandakar","406232$8.81%406.2k","47.35%","-","36.81%","157.0",""
"Danty","220750$4.79%220.8k","32.72%","-","22.45%","85.3",""
"Changó","183168$3.97%183.2k","25.19%","-","18.36%","70.8",""
"Akecheta","174160$3.78%174.2k","8.01%","63","17.35%","67.3",""
"Flatzz","159815$3.46%159.8k","15.62%","-","18.72%","61.8",""
"Muhhgi","159537$3.46%159.5k","14.67%","64","16.62%","61.7",""
"Overbit","146679$3.18%146.7k","8.93%","-","17.70%","56.7",""
"Deadstrike","128523$2.79%128.5k","6.55%","63","14.12%","49.7",""
"Chainguin","105559$2.29%105.6k","9.92%","65","13.07%","40.8",""
"Trii","104974$2.28%105.0k","10.53%","-","14.14%","40.6",""
"Kirilov","84805$1.84%84.8k","11.73%","65","11.65%","32.8",""
"Mexius","80844$1.75%80.8k","3.86%","65","4.88%","31.2",""
"Peareyeuh","80114$1.74%80.1k","13.47%","-","2.93%","31.0",""
"Gonz","78911$1.71%78.9k","12.90%","63","4.24%","30.5",""
"Enders","71188$1.54%71.2k","9.02%","65","2.21%","27.5",""
"Grimseeker","70910$1.54%70.9k","12.39%","66","5.02%","27.4",""
"Ultimecia","68991$1.50%69.0k","6.71%","65","4.66%","26.7",""
"Ghazan","65725$1.42%65.7k","12.49%","65","5.24%","25.4",""
"Slecht","62587$1.36%62.6k","9.49%","56","2.40%","24.2",""
"Fossett","61630$1.34%61.6k","13.99%","64","5.41%","23.8",""
"Cavander","60301$1.31%60.3k","7.60%","65","3.67%","23.3",""
"Necrohealya","59052$1.28%59.1k","10.57%","63","2.95%","22.8",""
"Dirtypantiz","57182$1.24%57.2k","5.59%","-","3.28%","22.1",""
"Dietolive","56649$1.23%56.6k","10.32%","63","3.01%","21.9",""
"Phugoid","55536$1.20%55.5k","16.65%","66","3.78%","21.5",""
"Tazdink","55456$1.20%55.5k","13.32%","63","1.95%","21.4",""
"Eighchbar","55200$1.20%55.2k","8.32%","61","2.96%","21.3",""
"Nakur","51460$1.12%51.5k","15.63%","61","2.87%","19.9",""
"Milku","51203$1.11%51.2k","16.07%","67","3.00%","19.8",""
"Takanu","49315$1.07%49.3k","11.37%","61","1.76%","19.1",""
"Saphex","48451$1.05%48.5k","9.92%","-","2.51%","18.7",""
"Hoebowjoe","48146$1.04%48.1k","15.57%","-","1.84%","18.6",""
"Pythagorean","47675$1.03%47.7k","10.18%","65","0.88%","18.4",""
"Deyn","45406$0.98%45.4k","18.32%","61","2.06%","17.6",""
"Claudiu","43271$0.94%43.3k","9.21%","65","2.30%","16.7",""
"Lachupacabra","39843$0.86%39.8k","7.61%","59","2.38%","15.4",""
"Valara","38471$0.83%38.5k","15.21%","64","1.19%","14.9",""
"Jiero","32505$0.70%32.5k","10.19%","66","1.80%","12.6",""
