"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Crox","797911$14.41%797.9k","52.73%","-","57.82%","243.6",""
"Bandakar","747374$13.49%747.4k","45.44%","-","55.92%","228.1",""
"Pemberstone","483966$8.74%484.0k","51.32%","-","39.27%","147.7",""
"Furckinstein","305740$5.52%305.7k","33.26%","-","24.95%","93.3",""
"Changó","252842$4.57%252.8k","23.78%","-","23.71%","77.2",""
"Flatzz","218561$3.95%218.6k","11.47%","65","21.14%","66.7",""
"Leetwreck","190091$3.43%190.1k","10.60%","64","14.45%","58.0",""
"Dohvyk","176880$3.19%176.9k","8.53%","-","18.36%","54.0",""
"Impervious","159013$2.87%159.0k","12.92%","65","13.51%","48.5",""
"Dankling","154896$2.80%154.9k","7.06%","64","18.07%","47.3",""
"Deadstrike","153469$2.77%153.5k","11.17%","-","18.99%","46.8",""
"Kagomi","134225$2.42%134.2k","9.96%","65","9.32%","41.0",""
"Chainguin","132949$2.40%132.9k","10.17%","68","16.20%","40.6",""
"Ultimecia","129225$2.33%129.2k","10.29%","-","7.55%","39.4",""
"Gaunz","108651$1.96%108.7k","5.80%","-","7.52%","33.2",""
"Tazdink","90246$1.63%90.2k","14.06%","68","4.00%","27.5",""
"Kirilov","87499$1.58%87.5k","11.14%","-","9.45%","26.7",""
"Dietolive","82492$1.49%82.5k","12.18%","66","3.88%","25.2",""
"Jiero","76274$1.38%76.3k","11.46%","-","3.06%","23.3",""
"Milku","72815$1.31%72.8k","14.17%","-","3.62%","22.2",""
"Eighchbar","72341$1.31%72.3k","9.84%","-","2.49%","22.1",""
"Dirtÿ","70663$1.28%70.7k","15.73%","65","4.60%","21.6",""
"Takanu","69709$1.26%69.7k","12.81%","-","4.10%","21.3",""
"Slecht","68508$1.24%68.5k","4.91%","-","3.58%","20.9",""
"Necrohealya","67416$1.22%67.4k","10.60%","-","3.01%","20.6",""
"Sur","66012$1.19%66.0k","6.61%","-","2.92%","20.2",""
"Hoebowjoe","65887$1.19%65.9k","12.38%","67","2.82%","20.1",""
"Ghazan","65519$1.18%65.5k","19.63%","-","3.18%","20.0",""
"Fossett","63301$1.14%63.3k","8.43%","66","3.27%","19.3",""
"Tumblebug","57478$1.04%57.5k","6.92%","-","2.35%","17.5",""
"Valara","55387$1.00%55.4k","9.11%","66","2.71%","16.9",""
"Wangcake","55259$1.00%55.3k","9.32%","-","2.46%","16.9",""
"Vannawight","48318$0.87%48.3k","6.97%","-","0.93%","14.7",""
"Mogs","47658$0.86%47.7k","9.74%","-","2.28%","14.5",""
"Pythagorean","47013$0.85%47.0k","11.57%","69","1.97%","14.4",""
"Deyn","42526$0.77%42.5k","12.68%","-","1.97%","13.0",""
"Ishney","20397$0.37%20.4k","17.23%","67","1.11%","6.2",""
