"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"55","Deyn","652494$13.20%652.5k","35.95%","71","46","47.26%","235.8",""
"51","Yunghelga","640441$12.96%640.4k","28.43%","69","46","49.50%","231.5",""
"68","Wangcake","571282$11.56%571.3k","37.43%","71","64","69.71%","206.5",""
"69","Eighchbar","541037$10.95%541.0k","36.92%","-","64","77.15%","195.6",""
"49","Shelton","512423$10.37%512.4k","47.51%","69","49","79.55%","185.2",""
"55","Pythagorean","484655$9.81%484.7k","31.45%","70","52","50.40%","175.2",""
"68","Milku","406933$8.23%406.9k","47.53%","-","60","73.24%","147.1",""
"44","Slecht","345196$6.99%345.2k","48.72%","69","42","62.82%","124.8",""
"20","Ratshot","311823$6.31%311.8k","56.61%","68","20","65.54%","112.7",""
"71","Ghazan","180138$3.65%180.1k","30.98%","-","70","17.23%","65.1",""
"56","Gonz","30152$0.61%30.2k","25.04%","-","58","3.25%","10.9",""
"90","Pemberstone","22285$0.45%22.3k","27.77%","-","90","8.63%","8.1",""
"88","Hoebowjoe","21170$0.43%21.2k","-","69","88","1.21%","7.7",""
"44","Furckinstein","18455$0.37%18.5k","43.98%","-","42","49.26%","6.7",""
"87","Dryrun","18074$0.37%18.1k","-","-","86","0.54%","6.5",""
"57","Akecheta","17434$0.35%17.4k","44.92%","-","54","56.53%","6.3",""
"65","Guliveris","15298$0.31%15.3k","38.75%","-","62","39.42%","5.5",""
"52","Bandakar","14370$0.29%14.4k","49.66%","69","49","53.36%","5.2",""
"54","Flatzz","14119$0.29%14.1k","53.96%","-","53","49.21%","5.1",""
"46","Dohvyk","13576$0.27%13.6k","47.54%","-","45","53.24%","4.9",""
"77","Tumblebug","12542$0.25%12.5k","-","70","78","0.00%","4.5",""
"43","Changó","12220$0.25%12.2k","53.99%","-","40","47.24%","4.4",""
"75","Kirilov","11810$0.24%11.8k","54.43%","74","68","16.88%","4.3",""
"46","Danty","10536$0.21%10.5k","52.84%","-","45","39.95%","3.8",""
"73","Ultimecia","10372$0.21%10.4k","56.13%","72","71","0.71%","3.7",""
"39","Dïrty","9348$0.19%9.3k","55.38%","-","40","38.44%","3.4",""
"69","Synergy","7772$0.16%7.8k","39.74%","-","72","3.51%","2.8",""
"52","Crox","6949$0.14%6.9k","27.52%","-","47","1.49%","2.5",""
"85","Fossett","6860$0.14%6.9k","-","71","85","0.72%","2.5",""
"67","Dietolive","4098$0.08%4.1k","41.62%","-","67","0.00%","1.5",""
"69","Valara","3558$0.07%3.6k","-","69","69","0.00%","1.3",""
"60","Deadstrike","3456$0.07%3.5k","66.08%","69","64","4.47%","1.2",""
"82","Duhd","3241$0.07%3.2k","-","-","82","0.00%","1.2",""
"59","Joepesci","2623$0.05%2.6k","21.82%","-","60","0.00%","0.9",""
"91","Jiero","2321$0.05%2.3k","-","-","92","0.00%","0.8",""
"86","Seadub","1506$0.03%1.5k","56.81%","70","86","0.00%","0.5",""
"-","Irisviiel","1225$0.02%1.2k","-","72","-","0.00%","0.4",""
