"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Bandakar","1127205$14.46%1.13m","54.35%","-","40.35%","260.0",""
"Crox","967670$12.41%967.7k","58.55%","-","39.77%","223.2",""
"Darunor","752283$9.65%752.3k","53.18%","-","29.17%","173.5",""
"Danty","376135$4.82%376.1k","48.43%","-","23.71%","86.8",""
"Pemberstone","226821$2.91%226.8k","34.98%","-","16.65%","52.3",""
"Impervious","172117$2.21%172.1k","16.62%","-","9.60%","39.7",""
"Trii","171770$2.20%171.8k","13.36%","-","9.45%","39.6",""
"Changó","171365$2.20%171.4k","12.65%","67","10.80%","39.5",""
"Minuteman","170356$2.18%170.4k","9.03%","-","10.90%","39.3",""
"Deadstrike","168879$2.17%168.9k","13.14%","-","9.11%","39.0",""
"Flatzz","165298$2.12%165.3k","17.94%","-","11.05%","38.1",""
"Akecheta","163018$2.09%163.0k","10.85%","-","11.17%","37.6",""
"Hoebowjoe","160133$2.05%160.1k","16.45%","-","12.51%","36.9",""
"Dankling","146535$1.88%146.5k","11.14%","-","8.62%","33.8",""
"Chainguin","140218$1.80%140.2k","11.47%","-","8.91%","32.3",""
"Dirtÿ","136821$1.75%136.8k","8.05%","-","10.54%","31.6",""
"Kirilov","136797$1.75%136.8k","10.24%","65","9.43%","31.6",""
"Mogs","135070$1.73%135.1k","7.57%","63","8.04%","31.2",""
"Enders","133165$1.71%133.2k","10.64%","-","7.69%","30.7",""
"Dietolive","132007$1.69%132.0k","8.67%","-","7.17%","30.5",""
"Gonz","122514$1.57%122.5k","17.10%","67","5.99%","28.3",""
"Necrohealya","117972$1.51%118.0k","6.53%","68","5.16%","27.2",""
"Pythagorean","111978$1.44%112.0k","5.38%","-","3.99%","25.8",""
"Milku","111117$1.42%111.1k","13.13%","-","6.23%","25.6",""
"Valara","110719$1.42%110.7k","7.53%","-","7.13%","25.5",""
"Fossett","109915$1.41%109.9k","8.64%","-","5.95%","25.4",""
"Deyn","108318$1.39%108.3k","14.91%","-","4.71%","25.0",""
"Mexius","108002$1.39%108.0k","8.65%","-","6.86%","24.9",""
"Ghazan","107583$1.38%107.6k","15.93%","-","5.84%","24.8",""
"Ultimecia","106240$1.36%106.2k","9.32%","67","5.68%","24.5",""
"Claudiu","105278$1.35%105.3k","12.48%","65","6.11%","24.3",""
"Takanu","99716$1.28%99.7k","8.07%","-","5.78%","23.0",""
"Tazdink","99186$1.27%99.2k","18.13%","66","3.62%","22.9",""
"Wangcake","96737$1.24%96.7k","12.56%","67","4.75%","22.3",""
"Cavander","94201$1.21%94.2k","10.62%","-","6.12%","21.7",""
"Slecht","90400$1.16%90.4k","8.12%","64","3.88%","20.9",""
"Eighchbar","87089$1.12%87.1k","7.98%","-","3.42%","20.1",""
"Spicyhot","84510$1.08%84.5k","9.45%","66","6.37%","19.5",""
"Ishney","73950$0.95%74.0k","9.69%","-","6.34%","17.1",""
"Jiero","65475$0.84%65.5k","11.11%","-","6.30%","15.1",""
"Jáx","12467$0.16%12.5k","15.87%","56","1.02%","2.9",""
"Kagomi","7343$0.09%7.3k","8.49%","63","0.00%","1.7",""
"Drtymilk","6209$0.08%6.2k","3.20%","58","0.00%","1.4",""
"Cubensis","4809$0.06%4.8k","27.96%","61","0.00%","1.1",""
"Gamehenge","1599$0.02%1.6k","-","58","0.00%","0.4",""
"Kuru","843$0.01%843.0","-","64","0.00%","0.2",""
"Saltor","51$0.00%51.0","-","14","0.00%","0.0",""
"Ettubrute","8$0.00%8.0","60.00%","60","0.00%","0.0",""
"Tahko","5$0.00%5.0","70.59%","59","0.00%","0.0",""
