"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"38","Flatzz","1063590$9.23%1.06m","66","31","67.15%","292.3",""
"35","Parisshelton","1023317$8.88%1.02m","68","30","53.90%","281.2",""
"55","Akecheta","962594$8.36%962.6k","-","48","75.48%","264.6",""
"64","Funk","959171$8.33%959.2k","-","80","56.54%","263.6",""
"46","Duhd","907502$7.88%907.5k","64","65","45.62%","249.4",""
"57","Jiero","880658$7.64%880.7k","-","58","56.49%","242.0",""
"43","Dohvyk","857877$7.45%857.9k","-","56","63.46%","235.8",""
"39","Stankdik","815564$7.08%815.6k","66","44","58.15%","224.1",""
"45","Gaunz","769223$6.68%769.2k","66","56","57.06%","211.4",""
"46","Bandakar","645596$5.60%645.6k","-","37","71.72%","177.4",""
"34","Ghazan","602626$5.23%602.6k","70","24","48.00%","165.6",""
"20","Irisviiel","555272$4.82%555.3k","61","49","54.76%","152.6",""
"15","Seadub","480585$4.17%480.6k","67","15","42.60%","132.1",""
"58","Pemberstone","445904$3.87%445.9k","68","52","68.92%","122.6",""
"29","Necrohealya","435309$3.78%435.3k","-","46","45.06%","119.6",""
"89","Pythagorean","74812$0.65%74.8k","-","89","6.19%","20.6",""
"96","Slecht","22822$0.20%22.8k","67","96","6.65%","6.3",""
"87","Deyn","10777$0.09%10.8k","-","86","1.09%","3.0",""
"26","Wangcake","3661$0.03%3.7k","-","24","0.78%","1.0",""
"92","Eighchbar","3200$0.03%3.2k","68","93","0.00%","0.9",""
"-","Magma Totem IV","724$0.01%724.0","-","-","0.00%","0.2",""
"-","Llewod","67$0.00%67.0","5","-","0.00%","0.0",""
"-","Cadespriest","1$0.00%1.0","-","-","0.00%","0.0",""
