"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"71","Jiero","101679$7.22%101.7k","66","62","82.65%","262.2",""
"64","Ultimecia","84003$5.96%84.0k","65","54","68.14%","216.6",""
"62","Minuteman","79225$5.63%79.2k","62","81","54.25%","204.3",""
"53","Valara","76331$5.42%76.3k","64","42","57.17%","196.8",""
"52","Cavander","72609$5.16%72.6k","65","42","58.42%","187.2",""
"67","Muhhgi","72024$5.11%72.0k","64","60","68.81%","185.7",""
"68","Flatzz","71908$5.11%71.9k","64","61","70.48%","185.4",""
"46","Deadstrike","71287$5.06%71.3k","63","56","76.19%","183.8",""
"61","Fossett","69269$4.92%69.3k","64","53","60.21%","178.6",""
"39","Overbit","66662$4.73%66.7k","61","64","60.92%","171.9",""
"35","Kirilov","64761$4.60%64.8k","65","27","57.16%","167.0",""
"47","Bandakar","64467$4.58%64.5k","65","44","83.68%","166.2",""
"75","Peareyeuh","62703$4.45%62.7k","-","85","60.57%","161.7",""
"32","Claudiu","62390$4.43%62.4k","64","23","54.44%","160.9",""
"31","Trii","62087$4.41%62.1k","66","19","55.48%","160.1",""
"33","Chingu","58406$4.15%58.4k","60","61","46.11%","150.6",""
"71","Pemberstone","56373$4.00%56.4k","-","72","54.49%","145.4",""
"27","Hoebowjoe","54460$3.87%54.5k","64","19","43.95%","140.4",""
"40","Danty","48367$3.43%48.4k","62","37","42.48%","124.7",""
"13","Darunor","34655$2.46%34.7k","61","14","62.26%","89.4",""
"21","Furckinstein","30842$2.19%30.8k","65","18","67.58%","79.5",""
"96","Ghazan","21124$1.50%21.1k","65","95","28.13%","54.5",""
"96","Phugoid","13482$0.96%13.5k","66","96","20.55%","34.8",""
"84","Gonz","7500$0.53%7.5k","66","80","4.69%","19.3",""
"70","Nakur","1441$0.10%1.4k","65","66","6.18%","3.7",""
"46","Deyn","304$0.02%304.0","65","40","0.62%","0.8",""
