"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Crox","197486$33.88%197.5k","52.29%","61","72.60%","318.3",""
"Furckinstein","23399$4.01%23.4k","20.48%","58","4.64%","37.7",""
"Hoebowjoe","21249$3.65%21.2k","5.21%","61","1.11%","34.3",""
"Nakur","19967$3.43%20.0k","13.52%","62","0.65%","32.2",""
"Darunor","19054$3.27%19.1k","11.27%","-","1.18%","30.7",""
"Enders","18556$3.18%18.6k","6.18%","61","1.63%","29.9",""
"Milku","18242$3.13%18.2k","8.39%","62","2.81%","29.4",""
"Kirilov","16742$2.87%16.7k","5.95%","63","0.00%","27.0",""
"Gonz","16597$2.85%16.6k","13.54%","63","6.51%","26.8",""
"Disk","16468$2.83%16.5k","10.28%","61","3.98%","26.5",""
"Ghazan","16447$2.82%16.4k","16.13%","60","2.61%","26.5",""
"Fossett","16171$2.77%16.2k","8.68%","59","0.00%","26.1",""
"Mortifier","15230$2.61%15.2k","21.64%","57","1.76%","24.5",""
"Muhhgi","15024$2.58%15.0k","7.42%","59","4.96%","24.2",""
"Deyn","14794$2.54%14.8k","3.04%","62","1.11%","23.8",""
"Trii","13936$2.39%13.9k","2.30%","61","0.64%","22.5",""
"Deadstrike","12975$2.23%13.0k","8.20%","59","1.70%","20.9",""
"Trike","12104$2.08%12.1k","10.51%","59","2.74%","19.5",""
"Mexius","11169$1.92%11.2k","18.25%","62","1.89%","18.0",""
"Chainguin","9087$1.56%9.1k","-","-","0.00%","14.6",""
"Jiero","9084$1.56%9.1k","9.73%","66","1.63%","14.6",""
"Dietolive","8756$1.50%8.8k","5.38%","60","0.00%","14.1",""
"Cavander","8755$1.50%8.8k","18.06%","62","0.00%","14.1",""
"Thamir","8644$1.48%8.6k","6.05%","59","0.00%","13.9",""
"Funk","7612$1.31%7.6k","19.93%","61","0.00%","12.3",""
"Ishney","7181$1.23%7.2k","10.33%","59","0.00%","11.6",""
"Minuteman","6888$1.18%6.9k","-","58","0.00%","11.1",""
"Akecheta","6621$1.14%6.6k","18.88%","60","1.69%","10.7",""
"Mogs","6434$1.10%6.4k","3.88%","-","0.00%","10.4",""
"Thicc","6183$1.06%6.2k","3.19%","58","1.11%","10.0",""
"Ultimecia","2044$0.35%2.0k","-","64","0.00%","3.3",""
