"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Pemberstone","599061$20.10%599.1k","53.20%","68","60.22%","165.7",""
"Guliveris","560519$18.81%560.5k","49.17%","-","49.69%","155.1",""
"Akecheta","272673$9.15%272.7k","37.35%","-","29.55%","75.4",""
"Ultimecia","201271$6.75%201.3k","11.46%","73","21.44%","55.7",""
"Buffymctank","164352$5.51%164.4k","16.98%","64","16.51%","45.5",""
"Stankdik","140168$4.70%140.2k","16.65%","66","17.50%","38.8",""
"Duhd","137833$4.63%137.8k","10.70%","64","19.33%","38.1",""
"Ghazan","110740$3.72%110.7k","32.16%","-","15.32%","30.6",""
"Parisshelton","108340$3.64%108.3k","8.75%","67","14.00%","30.0",""
"Camelman","94612$3.17%94.6k","10.40%","64","14.57%","26.2",""
"Smitty","75283$2.53%75.3k","6.98%","61","8.18%","20.8",""
"Tumblebug","72739$2.44%72.7k","9.79%","61","9.12%","20.1",""
"Shelton","68853$2.31%68.9k","14.19%","66","9.96%","19.0",""
"Necrohealya","65540$2.20%65.5k","7.61%","-","13.66%","18.1",""
"Pythagorean","64344$2.16%64.3k","9.42%","-","11.55%","17.8",""
"Wangcake","56236$1.89%56.2k","12.13%","-","11.96%","15.6",""
"Fossett","54205$1.82%54.2k","12.40%","-","10.99%","15.0",""
"Irisviiel","51411$1.73%51.4k","8.89%","60","10.80%","14.2",""
"Urumettu","42686$1.43%42.7k","19.94%","67","7.84%","11.8",""
"Ishney","39291$1.32%39.3k","11.93%","71","9.66%","10.9",""
