"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"45","Deyn","570572$11.83%570.6k","32.84%","68","42","43.84%","202.0",""
"20","Gonz","515525$10.69%515.5k","26.91%","67","20","44.10%","182.6",""
"59","Eighchbar","482945$10.01%482.9k","32.22%","65","72","72.02%","171.0",""
"69","Pythagorean","481069$9.97%481.1k","29.22%","68","72","53.61%","170.3",""
"35","Wangcake","458782$9.51%458.8k","41.72%","-","40","79.13%","162.5",""
"67","Milku","457789$9.49%457.8k","42.98%","-","66","78.47%","162.1",""
"28","Tazdink","411326$8.53%411.3k","22.02%","-","32","50.77%","145.7",""
"44","Enders","397102$8.23%397.1k","31.66%","-","50","44.98%","140.6",""
"41","Ghazan","323398$6.70%323.4k","26.08%","68","40","24.26%","114.5",""
"27","Necrohealya","255174$5.29%255.2k","49.31%","68","29","52.43%","90.4",""
"20","Slecht","241864$5.01%241.9k","44.59%","61","39","63.95%","85.6",""
"90","Hoebowjoe","29339$0.61%29.3k","-","66","89","1.00%","10.4",""
"88","Ultimecia","18539$0.38%18.5k","54.24%","69","88","9.43%","6.6",""
"80","Pemberstone","16106$0.33%16.1k","24.97%","-","80","5.63%","5.7",""
"90","Mogs","15833$0.33%15.8k","-","63","88","0.78%","5.6",""
"44","Flatzz","14721$0.31%14.7k","42.87%","65","43","48.53%","5.2",""
"83","Jáx","13533$0.28%13.5k","-","-","80","0.74%","4.8",""
"54","Leetwreck","13297$0.28%13.3k","43.41%","64","54","42.43%","4.7",""
"64","Furckinstein","12725$0.26%12.7k","36.79%","65","65","32.82%","4.5",""
"52","Changó","11519$0.24%11.5k","44.96%","-","49","41.68%","4.1",""
"54","Impervious","11461$0.24%11.5k","49.52%","-","55","40.42%","4.1",""
"86","Kagomi","9470$0.20%9.5k","6.82%","-","87","0.00%","3.4",""
"79","Cavander","7260$0.15%7.3k","45.33%","67","80","0.00%","2.6",""
"84","Valara","5943$0.12%5.9k","-","66","82","0.00%","2.1",""
"73","Deadstrike","5934$0.12%5.9k","47.43%","66","78","5.34%","2.1",""
"68","Overbit","5894$0.12%5.9k","40.54%","64","75","1.85%","2.1",""
"73","Dietolive","5480$0.11%5.5k","49.86%","-","74","0.00%","1.9",""
"68","Fossett","4450$0.09%4.5k","-","66","70","0.00%","1.6",""
"47","Crox","4401$0.09%4.4k","21.00%","-","42","0.94%","1.6",""
"76","Kirilov","3809$0.08%3.8k","41.70%","65","80","5.02%","1.3",""
"39","Bandakar","3624$0.08%3.6k","22.78%","-","33","4.16%","1.3",""
"67","Minuteman","3346$0.07%3.3k","24.57%","63","74","0.79%","1.2",""
"-","Jiero","2965$0.06%3.0k","-","-","-","0.00%","1.0",""
"65","Trii","2772$0.06%2.8k","42.77%","71","66","0.62%","1.0",""
"83","Dohvyk","2412$0.05%2.4k","-","-","90","0.00%","0.9",""
"97","Urumettu","2303$0.05%2.3k","-","66","97","0.00%","0.8",""
"-","Sur","1225$0.03%1.2k","-","-","-","0.00%","0.4",""
"58","Chainguin","732$0.02%732.0","72.90%","68","60","0.58%","0.3",""
