"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Crox","1334940$11.92%1.33m","56.50%","-","52.32%","221.5",""
"Bandakar","1188211$10.61%1.19m","52.19%","-","44.97%","197.1",""
"Guliveris","1150919$10.28%1.15m","50.07%","-","48.40%","191.0",""
"Akecheta","513042$4.58%513.0k","25.39%","-","27.30%","85.1",""
"Pemberstone","439453$3.92%439.5k","43.75%","-","17.16%","72.9",""
"Changó","438463$3.91%438.5k","28.09%","-","23.06%","72.8",""
"Dïrty","379056$3.38%379.1k","15.55%","-","18.77%","62.9",""
"Dohvyk","359932$3.21%359.9k","15.44%","-","19.06%","59.7",""
"Decimous","349588$3.12%349.6k","11.22%","64","19.22%","58.0",""
"Deadstrike","288914$2.58%288.9k","13.17%","69","16.48%","47.9",""
"Stankdik","279103$2.49%279.1k","10.75%","-","15.83%","46.3",""
"Synergy","260565$2.33%260.6k","11.60%","-","15.17%","43.2",""
"Seadub","241107$2.15%241.1k","9.71%","-","11.13%","40.0",""
"Kirilov","213503$1.91%213.5k","16.00%","-","11.43%","35.4",""
"Furckinstein","201358$1.80%201.4k","18.02%","69","11.50%","33.4",""
"Jáx","172600$1.54%172.6k","13.25%","-","9.67%","28.6",""
"Ishney","168130$1.50%168.1k","16.72%","-","7.79%","27.9",""
"Gaunz","166302$1.48%166.3k","11.66%","71","5.52%","27.6",""
"Ghazan","160123$1.43%160.1k","17.00%","-","6.05%","26.6",""
"Flatzz","158052$1.41%158.1k","10.02%","-","9.35%","26.2",""
"Milku","156859$1.40%156.9k","24.57%","-","6.33%","26.0",""
"Euphy","152256$1.36%152.3k","6.33%","-","6.55%","25.3",""
"Eighchbar","145999$1.30%146.0k","8.94%","-","5.84%","24.2",""
"Drgupta","145490$1.30%145.5k","18.85%","65","6.86%","24.1",""
"Pointed","143704$1.28%143.7k","7.54%","-","7.91%","23.8",""
"Jiero","130971$1.17%131.0k","18.13%","-","6.96%","21.7",""
"Wangcake","129492$1.16%129.5k","6.54%","72","6.39%","21.5",""
"Tumblebug","124006$1.11%124.0k","14.26%","-","6.81%","20.6",""
"Urumettu","121075$1.08%121.1k","18.99%","-","5.04%","20.1",""
"Spaghetties","119729$1.07%119.7k","4.75%","62","6.19%","19.9",""
"Hazyev","119423$1.07%119.4k","11.53%","-","6.87%","19.8",""
"Dryrun","117172$1.05%117.2k","11.02%","-","6.13%","19.4",""
"Parisshelton","115483$1.03%115.5k","12.96%","-","4.24%","19.2",""
"Pythagorean","110956$0.99%111.0k","9.19%","-","5.01%","18.4",""
"Irisviiel","108577$0.97%108.6k","18.71%","-","5.39%","18.0",""
"Dietolive","97412$0.87%97.4k","6.99%","-","6.56%","16.2",""
"Ultimecia","95504$0.85%95.5k","9.02%","-","6.04%","15.8",""
"Cubensis","72655$0.65%72.7k","14.38%","66","2.20%","12.1",""
"Gonz","70334$0.63%70.3k","13.83%","-","3.87%","11.7",""
"Gnarlsbarkly","66252$0.59%66.3k","6.84%","37","2.06%","11.0",""
"Necrohealya","65508$0.58%65.5k","11.57%","71","3.66%","10.9",""
"Finnagetit","59969$0.54%60.0k","6.20%","52","1.56%","10.0",""
"Duhd","54447$0.49%54.4k","9.07%","-","4.15%","9.0",""
"Slecht","53998$0.48%54.0k","12.15%","69","3.28%","9.0",""
"Kasako","49499$0.44%49.5k","11.89%","-","0.77%","8.2",""
"Furkinstine","44476$0.40%44.5k","7.04%","-","0.69%","7.4",""
"Ugara","36407$0.33%36.4k","8.96%","48","0.82%","6.0",""
"Razorgore the Untamed","29352$0.26%29.4k","-","-","0.00%","4.9",""
