"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Bandakar","521713$15.68%521.7k","46.97%","69","50.08%","149.3",""
"Crox","472347$14.20%472.3k","56.37%","-","50.87%","135.2",""
"Buffymctank","332872$10.01%332.9k","31.37%","-","29.92%","95.3",""
"Seadub","239648$7.20%239.6k","8.82%","-","25.04%","68.6",""
"Furckinstein","230101$6.92%230.1k","23.51%","67","25.21%","65.8",""
"Ultimecia","190643$5.73%190.6k","9.95%","-","18.55%","54.6",""
"Decimous","171088$5.14%171.1k","22.00%","63","22.83%","49.0",""
"Changó","146895$4.42%146.9k","22.61%","68","17.95%","42.0",""
"Gaunz","141351$4.25%141.4k","8.86%","-","16.75%","40.4",""
"Pointed","140722$4.23%140.7k","13.35%","-","18.69%","40.3",""
"Tauraheim","94278$2.83%94.3k","9.64%","-","14.65%","27.0",""
"Tazdink","89641$2.69%89.6k","13.84%","-","13.65%","25.7",""
"Deyn","86197$2.59%86.2k","19.97%","-","10.54%","24.7",""
"Jiero","85920$2.58%85.9k","22.21%","-","14.77%","24.6",""
"Fossett","74420$2.24%74.4k","13.42%","-","12.13%","21.3",""
"Dirtÿ","69912$2.10%69.9k","13.41%","72","8.85%","20.0",""
"Pythagorean","65872$1.98%65.9k","9.95%","-","9.41%","18.9",""
"Wangcake","65040$1.96%65.0k","14.32%","-","9.36%","18.6",""
"Eighchbar","58609$1.76%58.6k","10.88%","-","8.72%","16.8",""
"Slecht","49349$1.48%49.3k","9.76%","67","8.48%","14.1",""
