"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"69","Jiero","65345$4.68%65.3k","66","60","63.30%","226.5",""
"57","Grimseeker","63287$4.53%63.3k","64","70","74.10%","219.3",""
"57","Mogs","59703$4.28%59.7k","62","58","58.04%","206.9",""
"43","Ultimecia","59042$4.23%59.0k","64","37","63.15%","204.6",""
"79","Muhhgi","57442$4.12%57.4k","61","83","64.77%","199.1",""
"52","Cavander","55918$4.01%55.9k","62","55","55.69%","193.8",""
"64","Minuteman","55900$4.01%55.9k","61","86","55.80%","193.7",""
"59","Funk","55854$4.00%55.9k","61","67","63.14%","193.6",""
"60","Mexius","50829$3.64%50.8k","63","58","67.61%","176.2",""
"69","Changó","49516$3.55%49.5k","64","62","56.82%","171.6",""
"47","Overbit","49332$3.53%49.3k","61","73","65.18%","171.0",""
"54","Fossett","48735$3.49%48.7k","63","48","59.09%","168.9",""
"48","Kirilov","48376$3.47%48.4k","65","40","56.13%","167.7",""
"43","Dankling","47594$3.41%47.6k","56","86","69.42%","164.9",""
"30","Melven","42623$3.05%42.6k","61","36","62.50%","147.7",""
"80","Pemberstone","42158$3.02%42.2k","-","75","64.95%","146.1",""
"54","Trike","41297$2.96%41.3k","62","51","51.35%","143.1",""
"41","Hoebowjoe","41282$2.96%41.3k","62","41","45.89%","143.1",""
"27","Valara","40940$2.93%40.9k","60","38","50.67%","141.9",""
"28","Deadstrike","40276$2.89%40.3k","61","49","53.04%","139.6",""
"54","Akecheta","39199$2.81%39.2k","61","57","50.58%","135.8",""
"52","Danty","37907$2.72%37.9k","64","45","59.44%","131.4",""
"21","Claudiu","37408$2.68%37.4k","60","31","46.46%","129.6",""
"18","Saphex","34037$2.44%34.0k","60","26","50.80%","118.0",""
"19","Chainguin","33826$2.42%33.8k","63","23","54.00%","117.2",""
"20","Trii","32760$2.35%32.8k","63","24","47.80%","113.5",""
"55","Darunor","31001$2.22%31.0k","60","60","72.84%","107.4",""
"38","Flatzz","30419$2.18%30.4k","62","34","53.27%","105.4",""
"9","Grimmeat","28748$2.06%28.7k","58","19","51.96%","99.6",""
"16","Bandakar","27039$1.94%27.0k","-","29","84.56%","93.7",""
"25","Furckinstein","23427$1.68%23.4k","62","23","65.14%","81.2",""
"-","Tazdink","7337$0.53%7.3k","56","-","10.35%","25.4",""
"92","Hii","5033$0.36%5.0k","60","95","26.74%","17.4",""
"93","Derka","4945$0.35%4.9k","64","93","12.57%","17.1",""
"91","Phugoid","4309$0.31%4.3k","64","91","22.02%","14.9",""
"84","Necrohealya","2676$0.19%2.7k","62","87","12.12%","9.3",""
"-","Pythagorean","39$0.00%39.0","61","-","0.00%","0.1",""
