"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Crox","1003754$18.01%1.00m","51.24%","-","74.45%","315.1",""
"Bandakar","485851$8.72%485.9k","48.81%","-","42.26%","152.5",""
"Furckinstein","270685$4.86%270.7k","42.25%","60","24.26%","85.0",""
"Flatzz","241856$4.34%241.9k","14.82%","59","16.92%","75.9",""
"Muhhgi","209751$3.76%209.8k","17.40%","-","17.27%","65.8",""
"Akecheta","167783$3.01%167.8k","15.53%","-","10.64%","52.7",""
"Deadstrike","157681$2.83%157.7k","10.11%","-","9.11%","49.5",""
"Trike","154915$2.78%154.9k","11.07%","-","9.98%","48.6",""
"Dankling","142768$2.56%142.8k","4.31%","48","8.71%","44.8",""
"Overbit","138096$2.48%138.1k","7.80%","60","9.80%","43.3",""
"Kirilov","137239$2.46%137.2k","16.52%","-","10.23%","43.1",""
"Trii","136680$2.45%136.7k","12.45%","61","10.59%","42.9",""
"Loom","135571$2.43%135.6k","4.33%","55","7.48%","42.6",""
"Chainguin","134956$2.42%135.0k","12.73%","-","9.17%","42.4",""
"Thicc","131288$2.36%131.3k","5.12%","58","9.75%","41.2",""
"Gonz","127803$2.29%127.8k","13.49%","-","7.63%","40.1",""
"Deyn","102559$1.84%102.6k","11.08%","-","5.98%","32.2",""
"Milku","102291$1.84%102.3k","7.08%","-","8.60%","32.1",""
"Ghazan","99818$1.79%99.8k","10.35%","59","4.45%","31.3",""
"Trololololo","94964$1.70%95.0k","10.59%","59","4.87%","29.8",""
"Fossett","88532$1.59%88.5k","8.38%","62","4.11%","27.8",""
"Mexius","86108$1.55%86.1k","10.76%","-","3.71%","27.0",""
"Nakur","82387$1.48%82.4k","6.61%","61","4.20%","25.9",""
"Ultimecia","82090$1.47%82.1k","9.13%","61","2.77%","25.8",""
"Hoebowjoe","76447$1.37%76.4k","10.59%","59","4.07%","24.0",""
"Phugoid","75781$1.36%75.8k","14.53%","-","3.35%","23.8",""
"Necrohealya","74167$1.33%74.2k","8.00%","62","3.77%","23.3",""
"Pythagorean","72883$1.31%72.9k","6.56%","-","2.14%","22.9",""
"Jiero","69212$1.24%69.2k","9.09%","65","6.12%","21.7",""
"Ishney","68725$1.23%68.7k","2.60%","55","5.82%","21.6",""
"Cavander","68595$1.23%68.6k","7.13%","61","3.59%","21.5",""
"Enders","66741$1.20%66.7k","9.31%","59","4.00%","20.9",""
"Dietolive","65970$1.18%66.0k","10.49%","59","2.00%","20.7",""
"Disk","65912$1.18%65.9k","10.31%","61","2.04%","20.7",""
"Melven","63562$1.14%63.6k","11.40%","60","2.51%","20.0",""
"Tøes","61704$1.11%61.7k","16.01%","-","4.02%","19.4",""
"Funk","61000$1.09%61.0k","15.44%","58","3.82%","19.1",""
"Valara","60316$1.08%60.3k","6.24%","58","3.05%","18.9",""
"Mogs","57805$1.04%57.8k","10.84%","59","2.66%","18.1",""
"Grimmeat","47829$0.86%47.8k","15.93%","57","2.19%","15.0",""
