"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"53","Disk","537027$11.30%537.0k","26.13%","61","68","61.17%","145.6",""
"45","Milku","517603$10.89%517.6k","30.94%","62","49","67.92%","140.3",""
"27","Gonz","470350$9.89%470.4k","14.94%","-","26","38.46%","127.5",""
"29","Deyn","461108$9.70%461.1k","24.13%","61","34","35.28%","125.0",""
"28","Pythagorean","415308$8.74%415.3k","27.68%","-","43","50.39%","112.6",""
"18","Ghazan","394032$8.29%394.0k","15.30%","60","26","27.71%","106.8",""
"24","Enders","393215$8.27%393.2k","18.02%","61","35","38.50%","106.6",""
"23","Necrohealya","362795$7.63%362.8k","21.80%","62","31","42.39%","98.3",""
"20","Trololololo","352302$7.41%352.3k","15.71%","60","28","26.16%","95.5",""
"12","Nakur","293167$6.17%293.2k","43.98%","61","15","50.07%","79.5",""
"64","Hoebowjoe","46666$0.98%46.7k","1.07%","59","62","3.82%","12.7",""
"67","Ultimecia","34979$0.74%35.0k","14.56%","62","67","12.35%","9.5",""
"67","Crox","30966$0.65%31.0k","5.17%","-","69","3.45%","8.4",""
"79","Jiero","30258$0.64%30.3k","1.34%","65","78","1.39%","8.2",""
"48","Danty","30154$0.63%30.2k","15.22%","-","51","20.46%","8.2",""
"64","Mexius","27196$0.57%27.2k","12.20%","-","65","4.66%","7.4",""
"47","Flatzz","25494$0.54%25.5k","8.96%","59","48","20.68%","6.9",""
"78","Grimseeker","23004$0.48%23.0k","3.02%","-","78","1.10%","6.2",""
"54","Dietolive","21680$0.46%21.7k","12.31%","59","56","11.46%","5.9",""
"72","Trii","21389$0.45%21.4k","6.98%","61","73","1.48%","5.8",""
"37","Changó","20873$0.44%20.9k","16.64%","-","38","18.73%","5.7",""
"58","Tøes","20855$0.44%20.9k","23.51%","-","61","2.21%","5.7",""
"58","Bandakar","17391$0.37%17.4k","2.79%","-","57","0.85%","4.7",""
"56","Overbit","16356$0.34%16.4k","-","60","56","0.52%","4.4",""
"33","Fossett","16030$0.34%16.0k","13.20%","-","34","0.79%","4.3",""
"50","Trike","14751$0.31%14.8k","13.08%","-","51","14.18%","4.0",""
"47","Cavander","14518$0.31%14.5k","41.62%","61","46","4.88%","3.9",""
"49","Thicc","13888$0.29%13.9k","8.07%","58","56","1.21%","3.8",""
"40","Mogs","12729$0.27%12.7k","4.08%","-","39","0.77%","3.5",""
"34","Funk","12574$0.26%12.6k","6.08%","-","31","0.00%","3.4",""
"53","Deadstrike","12011$0.25%12.0k","4.61%","58","57","0.00%","3.3",""
"46","Valara","11957$0.25%12.0k","13.20%","-","42","14.10%","3.2",""
"30","Muhhgi","11865$0.25%11.9k","11.39%","59","31","13.99%","3.2",""
"43","Minuteman","11523$0.24%11.5k","3.48%","58","52","4.34%","3.1",""
"46","Kirilov","11241$0.24%11.2k","37.65%","-","46","3.65%","3.0",""
"37","Melven","10305$0.22%10.3k","0.56%","60","33","0.00%","2.8",""
"32","Grimmeat","9320$0.20%9.3k","0.90%","-","29","0.63%","2.5",""
"33","Akecheta","9086$0.19%9.1k","15.13%","-","35","0.80%","2.5",""
"39","Chainguin","7571$0.16%7.6k","22.70%","-","39","1.02%","2.1",""
"38","Furckinstein","7510$0.16%7.5k","-","-","37","0.00%","2.0",""
"-","Dankling","2962$0.06%3.0k","-","48","-","0.00%","0.8",""
