"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"54","Akecheta","1333738$5.37%1.33m","-","53","77.41%","423.3",""
"88","Duhd","1250010$5.03%1.25m","70","91","53.45%","396.7",""
"55","Synergy","1236151$4.98%1.24m","-","62","71.56%","392.3",""
"56","Kirilov","1226845$4.94%1.23m","-","58","72.64%","389.3",""
"58","Nimda","1119978$4.51%1.12m","-","69","67.81%","355.4",""
"75","Parisshelton","1113623$4.48%1.11m","-","75","54.97%","353.4",""
"42","Dohvyk","1033760$4.16%1.03m","-","42","69.97%","328.1",""
"44","Furckinstein","1008573$4.06%1.01m","-","39","63.59%","320.1",""
"44","Lexzie","990522$3.99%990.5k","63","63","66.49%","314.3",""
"30","Pointed","985815$3.97%985.8k","-","43","69.62%","312.8",""
"39","Deadstrike","901180$3.63%901.2k","-","46","57.43%","286.0",""
"35","Changó","875939$3.53%875.9k","-","34","62.59%","278.0",""
"34","Jáx","860695$3.46%860.7k","-","39","54.73%","273.1",""
"32","Rexwalters","828947$3.34%828.9k","-","47","61.58%","263.1",""
"42","Irisviiel","777625$3.13%777.6k","-","37","64.87%","246.8",""
"51","Kurtz","777352$3.13%777.4k","-","48","58.60%","246.7",""
"46","Urumettu","743665$2.99%743.7k","-","50","63.76%","236.0",""
"47","Ultimecia","725875$2.92%725.9k","-","38","49.40%","230.4",""
"25","Melven","720014$2.90%720.0k","-","42","55.33%","228.5",""
"27","Slowz","697240$2.81%697.2k","71","33","60.19%","221.3",""
"50","Guliveris","679258$2.73%679.3k","-","46","60.95%","215.6",""
"31","Flatzz","667560$2.69%667.6k","-","27","64.86%","211.8",""
"78","Pemberstone","648411$2.61%648.4k","-","74","70.06%","205.8",""
"31","Ishney","643797$2.59%643.8k","-","28","60.04%","204.3",""
"16","Giacco","642722$2.59%642.7k","-","20","60.11%","204.0",""
"45","Hbar","631765$2.54%631.8k","-","66","65.50%","200.5",""
"33","Mortifier","537074$2.16%537.1k","-","38","73.46%","170.4",""
"17","Gaunz","479510$1.93%479.5k","71","18","42.48%","152.2",""
"11","Ugara","443471$1.78%443.5k","-","15","56.43%","140.7",""
"91","Ghazan","114602$0.46%114.6k","-","91","15.82%","36.4",""
"97","Milku","39821$0.16%39.8k","-","97","5.87%","12.6",""
"-","Necrohealya","29231$0.12%29.2k","-","-","0.87%","9.3",""
"78","Shamallama","25071$0.10%25.1k","-","78","3.64%","8.0",""
"86","Pythagorean","16472$0.07%16.5k","-","86","6.60%","5.2",""
"96","Slecht","15858$0.06%15.9k","70","96","2.22%","5.0",""
"-","Deyn","14136$0.06%14.1k","70","-","1.01%","4.5",""
"-","Wangcake","4893$0.02%4.9k","74","-","2.64%","1.6",""
"59","Tauraheim","3575$0.01%3.6k","-","58","0.93%","1.1",""
"77","Drgupta","329$0.00%329.0","68","78","0.00%","0.1",""
"-","Lumieux","92$0.00%92.0","-","-","0.00%","0.0",""
