"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"56","Enders","35962$12.48%36.0k","47.26%","63","63","71.06%","110.7",""
"38","Necrohealya","30625$10.63%30.6k","50.59%","62","50","70.66%","94.3",""
"31","Phugoid","30467$10.57%30.5k","57.26%","65","24","49.12%","93.8",""
"39","Pythagorean","29508$10.24%29.5k","41.27%","62","51","40.17%","90.9",""
"32","Milku","25638$8.90%25.6k","63.20%","65","25","90.60%","79.0",""
"29","Deyn","25072$8.70%25.1k","38.47%","63","26","19.20%","77.2",""
"25","Nakur","19688$6.83%19.7k","46.64%","64","20","50.16%","60.6",""
"9","Ghazan","17752$6.16%17.8k","50.12%","59","18","26.33%","54.7",""
"11","Gonz","16884$5.86%16.9k","30.83%","65","9","9.23%","52.0",""
"6","Tazdink","13573$4.71%13.6k","55.27%","60","7","13.10%","41.8",""
"9","Eighchbar","12877$4.47%12.9k","60.47%","55","34","33.06%","39.7",""
"4","Hii","7999$2.78%8.0k","69.82%","62","5","33.12%","24.6",""
"97","Hoebowjoe","5151$1.79%5.2k","-","62","97","0.00%","15.9",""
"65","Mexius","2315$0.80%2.3k","18.77%","62","65","36.54%","7.1",""
"83","Bandakar","2175$0.75%2.2k","-","62","84","0.00%","6.7",""
"73","Akecheta","1660$0.58%1.7k","29.60%","-","71","26.19%","5.1",""
"75","Pemberstone","1546$0.54%1.5k","31.50%","-","74","0.00%","4.8",""
"69","Deadstrike","1532$0.53%1.5k","26.59%","61","69","5.81%","4.7",""
"68","Flatzz","1382$0.48%1.4k","34.72%","-","65","26.55%","4.3",""
"44","Cavander","1245$0.43%1.2k","39.94%","62","43","0.68%","3.8",""
"63","Overbit","1076$0.37%1.1k","41.36%","61","62","5.44%","3.3",""
"48","Valara","920$0.32%920.0","-","60","47","0.00%","2.8",""
"55","Trike","880$0.31%880.0","48.75%","63","52","20.83%","2.7",""
"48","Funk","860$0.30%860.0","-","61","48","0.00%","2.6",""
"45","Impervious","572$0.20%572.0","49.25%","60","45","24.80%","1.8",""
"32","Claudiu","328$0.11%328.0","-","60","30","0.00%","1.0",""
"20","Danty","171$0.06%171.0","84.97%","64","18","16.65%","0.5",""
"20","Changó","162$0.06%162.0","83.99%","64","18","18.20%","0.5",""
"18","Crox","145$0.05%145.0","69.79%","61","23","0.00%","0.4",""
