"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Crox","153561$19.66%153.6k","50.70%","65","52.86%","255.1",""
"Bandakar","96849$12.40%96.8k","44.78%","66","36.04%","160.9",""
"Darunor","34389$4.40%34.4k","33.18%","61","11.55%","57.1",""
"Milku","25957$3.32%26.0k","15.44%","67","8.27%","43.1",""
"Danty","24326$3.11%24.3k","15.16%","62","9.94%","40.4",""
"Gonz","22311$2.86%22.3k","17.04%","66","5.32%","37.1",""
"Muhhgi","21986$2.81%22.0k","11.07%","64","5.79%","36.5",""
"Flatzz","18655$2.39%18.7k","2.85%","-","0.80%","31.0",""
"Overbit","18208$2.33%18.2k","10.35%","61","5.02%","30.2",""
"Crow","18207$2.33%18.2k","5.11%","58","3.57%","30.2",""
"Pythagorean","17980$2.30%18.0k","4.94%","64","2.90%","29.9",""
"Trii","17856$2.29%17.9k","10.25%","65","2.69%","29.7",""
"Takanu","17044$2.18%17.0k","6.87%","60","3.97%","28.3",""
"Trike","16966$2.17%17.0k","21.74%","-","6.79%","28.2",""
"Deyn","16884$2.16%16.9k","11.60%","65","2.70%","28.0",""
"Nakur","16350$2.09%16.4k","12.28%","65","1.28%","27.2",""
"Changó","16107$2.06%16.1k","7.27%","65","1.14%","26.8",""
"Necrohealya","15289$1.96%15.3k","-","66","0.00%","25.4",""
"Akecheta","14849$1.90%14.8k","24.63%","63","5.25%","24.7",""
"Peareyeuh","14669$1.88%14.7k","15.52%","-","4.64%","24.4",""
"Hoebowjoe","13753$1.76%13.8k","8.71%","64","1.14%","22.8",""
"Enders","13110$1.68%13.1k","7.31%","65","2.62%","21.8",""
"Kirilov","12094$1.55%12.1k","19.23%","65","6.26%","20.1",""
"Ultimecia","11948$1.53%11.9k","7.45%","65","0.60%","19.8",""
"Jiero","11553$1.48%11.6k","26.01%","66","5.45%","19.2",""
"Eighchbar","10558$1.35%10.6k","12.33%","61","4.78%","17.5",""
"Fossett","10225$1.31%10.2k","28.04%","64","4.54%","17.0",""
"Mexius","9599$1.23%9.6k","13.01%","65","0.00%","15.9",""
"Dirtypantiz","9412$1.20%9.4k","16.17%","62","0.95%","15.6",""
"Dietolive","9065$1.16%9.1k","4.40%","63","1.41%","15.1",""
"Claudiu","8871$1.14%8.9k","5.51%","64","1.88%","14.7",""
"Mogs","8499$1.09%8.5k","9.15%","61","3.63%","14.1",""
"Deadstrike","8304$1.06%8.3k","1.63%","63","1.14%","13.8",""
"Grimseeker","8302$1.06%8.3k","21.52%","66","3.62%","13.8",""
"Chingu","7552$0.97%7.6k","22.05%","60","4.24%","12.5",""
"Saphex","7427$0.95%7.4k","19.49%","62","2.45%","12.3",""
"Chainguin","6649$0.85%6.6k","15.27%","65","1.34%","11.0",""
"Valara","5896$0.75%5.9k","27.95%","64","1.48%","9.8",""
"Tazdink","5110$0.65%5.1k","-","63","1.21%","8.5",""
"Cavander","4870$0.62%4.9k","18.51%","63","2.02%","8.1",""
"Bruxism","14$0.00%14.0","75.00%","57","0.68%","0.0",""
"Burnhorn","9$0.00%9.0","57.14%","48","0.00%","0.0",""
"Jokhang","7$0.00%7.0","61.11%","50","0.00%","0.0",""
