"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"60","Pythagorean","735602$11.25%735.6k","36.13%","-","69","74.23%","169.7",""
"60","Enders","660492$10.10%660.5k","30.98%","-","69","59.35%","152.4",""
"62","Eighchbar","636022$9.73%636.0k","34.96%","-","74","71.31%","146.7",""
"41","Deyn","535743$8.20%535.7k","31.94%","-","43","31.14%","123.6",""
"63","Milku","529554$8.10%529.6k","45.56%","-","64","75.60%","122.2",""
"28","Takanu","483471$7.40%483.5k","33.44%","-","39","38.31%","111.5",""
"45","Necrohealya","481955$7.37%482.0k","45.48%","68","50","56.45%","111.2",""
"35","Tazdink","442604$6.77%442.6k","17.87%","66","38","39.80%","102.1",""
"21","Wangcake","432596$6.62%432.6k","43.72%","67","27","59.63%","99.8",""
"35","Gonz","416307$6.37%416.3k","28.98%","67","37","28.23%","96.0",""
"33","Ghazan","354027$5.42%354.0k","35.59%","-","35","31.03%","81.7",""
"29","Slecht","343148$5.25%343.1k","46.68%","64","45","68.21%","79.2",""
"83","Hoebowjoe","65193$1.00%65.2k","-","-","83","6.98%","15.0",""
"85","Mogs","46538$0.71%46.5k","0.58%","63","87","4.39%","10.7",""
"80","Ultimecia","35787$0.55%35.8k","23.43%","67","80","4.30%","8.3",""
"79","Bandakar","27892$0.43%27.9k","16.91%","-","79","8.51%","6.4",""
"71","Akecheta","26765$0.41%26.8k","35.38%","-","70","48.55%","6.2",""
"28","Cubensis","24566$0.38%24.6k","50.10%","61","51","3.37%","5.7",""
"62","Impervious","21736$0.33%21.7k","45.71%","-","61","46.42%","5.0",""
"73","Valara","20749$0.32%20.7k","-","-","76","3.24%","4.8",""
"73","Minuteman","18977$0.29%19.0k","16.61%","-","75","2.26%","4.4",""
"54","Changó","17102$0.26%17.1k","56.60%","67","52","44.28%","3.9",""
"67","Cavander","16133$0.25%16.1k","13.36%","-","68","0.00%","3.7",""
"49","Flatzz","15997$0.24%16.0k","43.55%","-","48","43.61%","3.7",""
"64","Pemberstone","15509$0.24%15.5k","37.04%","-","64","4.47%","3.6",""
"72","Dietolive","15022$0.23%15.0k","7.33%","-","75","0.00%","3.5",""
"71","Deadstrike","14519$0.22%14.5k","47.73%","-","73","5.20%","3.3",""
"36","Darunor","12762$0.20%12.8k","14.38%","-","41","1.50%","2.9",""
"58","Danty","10859$0.17%10.9k","32.77%","-","56","16.46%","2.5",""
"69","Mexius","9498$0.15%9.5k","6.64%","-","70","0.96%","2.2",""
"68","Trii","9150$0.14%9.2k","41.01%","-","70","1.43%","2.1",""
"59","Crox","7842$0.12%7.8k","17.26%","-","58","0.00%","1.8",""
"80","Jiero","7561$0.12%7.6k","-","-","81","0.56%","1.7",""
"31","Claudiu","6966$0.11%7.0k","32.11%","65","34","0.92%","1.6",""
"69","Kirilov","6936$0.11%6.9k","51.85%","65","71","3.36%","1.6",""
"77","Ishney","6926$0.11%6.9k","41.78%","-","78","1.95%","1.6",""
"11","Dirtÿ","5963$0.09%6.0k","-","-","18","0.88%","1.4",""
"57","Spicyhot","4619$0.07%4.6k","20.28%","66","58","0.00%","1.1",""
"64","Dankling","4015$0.06%4.0k","42.64%","-","67","0.55%","0.9",""
"14","Fossett","3097$0.05%3.1k","31.35%","-","16","0.00%","0.7",""
"75","Chainguin","2825$0.04%2.8k","50.45%","-","78","0.57%","0.7",""
"79","Kagomi","2330$0.04%2.3k","8.45%","63","81","0.00%","0.5",""
"-","Kuru","1276$0.02%1.3k","-","64","-","0.00%","0.3",""
