"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"54","Stankdik","1105726$6.19%1.11m","72","53","73.07%","338.4",""
"49","Akecheta","1102090$6.17%1.10m","-","50","76.71%","337.3",""
"48","Dohvyk","1019003$5.70%1.02m","-","45","70.56%","311.9",""
"64","Irisviiel","981136$5.49%981.1k","-","58","72.54%","300.3",""
"68","Jiero","911300$5.10%911.3k","74","58","73.81%","278.9",""
"27","Deadstrike","896352$5.02%896.4k","69","29","74.21%","274.3",""
"54","Bandakar","891990$4.99%892.0k","-","54","84.32%","273.0",""
"34","Gaunz","879924$4.92%879.9k","71","29","59.66%","269.3",""
"46","Kirilov","865465$4.84%865.5k","74","38","57.49%","264.9",""
"35","Parisshelton","858866$4.81%858.9k","70","45","66.46%","262.9",""
"21","Pointed","826902$4.63%826.9k","-","29","69.59%","253.1",""
"48","Hbar","798703$4.47%798.7k","62","64","69.56%","244.4",""
"47","Furkinstine","759492$4.25%759.5k","-","58","58.04%","232.4",""
"36","Ishney","723321$4.05%723.3k","74","22","62.17%","221.4",""
"30","Kurtz","715435$4.00%715.4k","72","32","58.79%","219.0",""
"24","Dïrty","701696$3.93%701.7k","-","43","58.58%","214.8",""
"28","Jáx","631252$3.53%631.3k","-","36","56.14%","193.2",""
"19","Melven","620700$3.47%620.7k","65","35","56.88%","190.0",""
"36","Guliveris","573965$3.21%574.0k","-","35","74.79%","175.7",""
"65","Pemberstone","526637$2.95%526.6k","-","64","77.47%","161.2",""
"13","Ugara","508849$2.85%508.8k","67","13","55.60%","155.7",""
"11","Buppybimbus","504603$2.82%504.6k","-","11","73.24%","154.4",""
"8","Hypnosa","403891$2.26%403.9k","-","-","65.49%","123.6",""
"92","Ghazan","44749$0.25%44.7k","71","93","7.26%","13.7",""
"96","Slecht","9117$0.05%9.1k","70","97","2.70%","2.8",""
"91","Wangcake","4751$0.03%4.8k","73","92","0.00%","1.5",""
"-","Lavain","1800$0.01%1.8k","68","-","0.00%","0.6",""
"93","Vannawight","1553$0.01%1.6k","67","91","0.00%","0.5",""
"95","Milku","828$0.00%828.0","-","95","0.00%","0.3",""
"-","Lumieux","411$0.00%411.0","65","-","0.00%","0.1",""
"-","Gnarlsbarkly","26$0.00%26.0","38","-","0.00%","0.0",""
"-","Furrsuit","13$0.00%13.0","-","-","0.00%","0.0",""
