"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"40","Ultimecia","708139$4.93%708.1k","61","45","61.43%","222.3",""
"27","Funk","696721$4.85%696.7k","58","42","55.31%","218.7",""
"36","Mogs","690951$4.81%691.0k","59","53","52.23%","216.9",""
"26","Jiero","672098$4.68%672.1k","65","21","56.86%","211.0",""
"35","Trike","649830$4.52%649.8k","-","44","64.22%","204.0",""
"24","Valara","587630$4.09%587.6k","58","41","49.21%","184.4",""
"24","Dietolive","585938$4.08%585.9k","59","36","50.06%","183.9",""
"12","Kirilov","585918$4.08%585.9k","-","16","54.79%","183.9",""
"15","Overbit","585436$4.08%585.4k","60","30","54.67%","183.8",""
"35","Mexius","565998$3.94%566.0k","-","43","55.30%","177.7",""
"17","Melven","561968$3.91%562.0k","60","24","40.28%","176.4",""
"19","Cavander","553597$3.85%553.6k","61","22","52.11%","173.8",""
"26","Akecheta","548642$3.82%548.6k","-","33","62.08%","172.2",""
"10","Chainguin","526827$3.67%526.8k","-","21","48.80%","165.4",""
"9","Trii","521749$3.63%521.7k","61","15","54.22%","163.8",""
"22","Fossett","517750$3.61%517.8k","62","17","57.22%","162.5",""
"15","Hoebowjoe","513263$3.57%513.3k","59","21","41.23%","161.1",""
"9","Deadstrike","511802$3.56%511.8k","-","22","55.94%","160.6",""
"25","Flatzz","463989$3.23%464.0k","59","31","58.13%","145.6",""
"20","Muhhgi","454799$3.17%454.8k","-","25","56.41%","142.8",""
"7","Thicc","448459$3.12%448.5k","58","16","50.19%","140.8",""
"6","Loom","428541$2.98%428.5k","55","21","51.03%","134.5",""
"7","Tøes","365837$2.55%365.8k","-","15","47.71%","114.8",""
"14","Grimmeat","336068$2.34%336.1k","57","21","36.04%","105.5",""
"14","Bandakar","274273$1.91%274.3k","-","17","61.15%","86.1",""
"4","Ishney","268897$1.87%268.9k","55","10","44.65%","84.4",""
"4","Dankling","253531$1.77%253.5k","48","-","48.78%","79.6",""
"10","Crox","234202$1.63%234.2k","-","23","81.92%","73.5",""
"7","Furckinstein","173344$1.21%173.3k","60","8","45.17%","54.4",""
"85","Pythagorean","46195$0.32%46.2k","-","84","1.89%","14.5",""
"95","Phugoid","17333$0.12%17.3k","-","95","6.75%","5.4",""
"89","Gonz","7411$0.05%7.4k","-","88","2.00%","2.3",""
"95","Nakur","3777$0.03%3.8k","61","95","1.33%","1.2",""
"93","Enders","233$0.00%233.0","59","92","0.00%","0.1",""
"95","Milku","46$0.00%46.0","-","95","0.00%","0.0",""
