"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"68","Akecheta","914033$4.78%914.0k","63","62","65.31%","349.4",""
"68","Changó","906753$4.74%906.8k","-","63","62.36%","346.7",""
"72","Trike","874748$4.58%874.7k","-","68","69.19%","334.4",""
"62","Danty","837986$4.38%838.0k","-","60","65.28%","320.4",""
"65","Deadstrike","817899$4.28%817.9k","63","75","63.64%","312.7",""
"49","Chainguin","796877$4.17%796.9k","65","42","60.85%","304.7",""
"54","Flatzz","783145$4.10%783.1k","64","47","62.69%","299.4",""
"74","Ultimecia","743466$3.89%743.5k","65","66","54.31%","284.2",""
"42","Kirilov","727700$3.81%727.7k","65","36","59.40%","278.2",""
"55","Muhhgi","715735$3.74%715.7k","64","49","61.13%","273.6",""
"64","Mogs","705612$3.69%705.6k","61","71","52.81%","269.8",""
"50","Overbit","704508$3.69%704.5k","61","70","61.10%","269.3",""
"60","Grimseeker","691181$3.62%691.2k","66","52","67.43%","264.2",""
"58","Hoebowjoe","678924$3.55%678.9k","64","47","54.82%","259.6",""
"68","Dietolive","649937$3.40%649.9k","-","75","53.22%","248.5",""
"65","Valara","648409$3.39%648.4k","64","55","51.84%","247.9",""
"74","Mexius","630962$3.30%631.0k","-","66","55.59%","241.2",""
"65","Jiero","597033$3.12%597.0k","67","54","64.02%","228.3",""
"66","Cavander","593172$3.10%593.2k","63","64","47.13%","226.8",""
"61","Crow","588083$3.08%588.1k","58","82","39.23%","224.8",""
"41","Saphex","585220$3.06%585.2k","62","41","46.93%","223.7",""
"26","Trii","569705$2.98%569.7k","65","22","56.88%","217.8",""
"31","Chingu","567901$2.97%567.9k","60","57","56.91%","217.1",""
"26","Claudiu","528896$2.77%528.9k","64","17","39.62%","202.2",""
"64","Fossett","506478$2.65%506.5k","64","55","50.33%","193.6",""
"35","Dirtypantiz","481180$2.52%481.2k","62","34","47.79%","184.0",""
"56","Bandakar","466633$2.44%466.6k","-","54","68.99%","178.4",""
"72","Crox","407996$2.13%408.0k","-","73","73.68%","156.0",""
"51","Darunor","281261$1.47%281.3k","-","54","57.16%","107.5",""
"78","Ghazan","98772$0.52%98.8k","64","77","11.21%","37.8",""
"91","Gonz","6890$0.04%6.9k","66","89","2.83%","2.6",""
"99","Tazdink","6301$0.03%6.3k","63","99","0.95%","2.4",""
"94","Nakur","3299$0.02%3.3k","65","94","1.88%","1.3",""
"-","Enders","406$0.00%406.0","65","-","0.00%","0.2",""
