"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"83","Milku","639484$13.49%639.5k","37.08%","-","79","81.99%","210.3",""
"44","Derka","542491$11.44%542.5k","27.39%","65","37","62.62%","178.4",""
"50","Deyn","510126$10.76%510.1k","25.44%","64","44","46.23%","167.7",""
"68","Pythagorean","495570$10.45%495.6k","25.30%","62","78","58.05%","163.0",""
"39","Phugoid","449464$9.48%449.5k","38.94%","-","34","65.68%","147.8",""
"49","Eighchbar","429159$9.05%429.2k","29.15%","58","71","66.63%","141.1",""
"27","Gonz","397165$8.38%397.2k","20.91%","65","23","31.14%","130.6",""
"25","Ghazan","385541$8.13%385.5k","23.02%","63","23","38.11%","126.8",""
"41","Necrohealya","322647$6.80%322.6k","38.26%","-","42","56.23%","106.1",""
"14","Tazdink","246229$5.19%246.2k","15.02%","-","18","33.05%","81.0",""
"73","Hoebowjoe","27119$0.57%27.1k","-","-","73","1.35%","8.9",""
"64","Impervious","26949$0.57%26.9k","27.09%","61","62","34.90%","8.9",""
"61","Flatzz","26335$0.56%26.3k","21.88%","63","58","44.56%","8.7",""
"83","Ultimecia","21298$0.45%21.3k","47.24%","64","82","4.00%","7.0",""
"54","Changó","18162$0.38%18.2k","36.92%","65","55","37.68%","6.0",""
"58","Darunor","16696$0.35%16.7k","26.28%","-","68","3.46%","5.5",""
"74","Deadstrike","16478$0.35%16.5k","25.88%","61","76","5.09%","5.4",""
"61","Trike","14794$0.31%14.8k","37.61%","63","57","35.36%","4.9",""
"83","Dietolive","14243$0.30%14.2k","6.66%","61","83","10.79%","4.7",""
"58","Pemberstone","14215$0.30%14.2k","21.82%","59","58","4.32%","4.7",""
"43","Bandakar","11941$0.25%11.9k","6.29%","-","42","1.32%","3.9",""
"73","Mexius","10778$0.23%10.8k","6.38%","64","70","0.56%","3.5",""
"67","Valara","9936$0.21%9.9k","-","-","67","0.74%","3.3",""
"78","Overbit","9867$0.21%9.9k","27.75%","61","80","5.11%","3.2",""
"51","Crox","9832$0.21%9.8k","10.84%","-","52","0.75%","3.2",""
"87","Claudiu","9084$0.19%9.1k","-","-","87","0.91%","3.0",""
"70","Trii","8925$0.19%8.9k","22.50%","-","69","1.74%","2.9",""
"82","Jiero","8421$0.18%8.4k","-","-","81","0.75%","2.8",""
"63","Kirilov","7000$0.15%7.0k","38.29%","65","61","3.69%","2.3",""
"65","Cavander","6904$0.15%6.9k","57.32%","62","64","0.00%","2.3",""
"49","Fossett","6227$0.13%6.2k","-","64","46","0.00%","2.0",""
"72","Saphex","6127$0.13%6.1k","-","61","70","0.00%","2.0",""
"71","Crow","6071$0.13%6.1k","32.14%","52","73","3.62%","2.0",""
"80","Funk","5137$0.11%5.1k","-","60","78","0.00%","1.7",""
"85","Grimseeker","3424$0.07%3.4k","-","-","86","0.00%","1.1",""
"68","Dankling","2700$0.06%2.7k","-","57","80","0.00%","0.9",""
"43","Chainguin","2029$0.04%2.0k","54.28%","64","42","0.91%","0.7",""
"19","Melven","1591$0.03%1.6k","-","61","16","0.00%","0.5",""
"-","Ishney","1355$0.03%1.4k","-","-","-","0.00%","0.4",""
"31","Mementomory","603$0.01%603.0","-","56","26","0.00%","0.2",""
