"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Crox","1078035$18.95%1.08m","53.19%","-","68.08%","300.2",""
"Furckinstein","673027$11.83%673.0k","47.19%","61","44.59%","187.4",""
"Darunor","395187$6.95%395.2k","42.81%","-","32.12%","110.1",""
"Trike","283606$4.98%283.6k","26.09%","-","25.34%","79.0",""
"Akecheta","204197$3.59%204.2k","8.88%","-","14.42%","56.9",""
"Flatzz","202442$3.56%202.4k","15.11%","62","15.73%","56.4",""
"Muhhgi","197532$3.47%197.5k","9.60%","60","16.11%","55.0",""
"Bandakar","196042$3.45%196.0k","45.86%","-","18.98%","54.6",""
"Impervious","195101$3.43%195.1k","7.93%","-","17.04%","54.3",""
"Kirilov","176393$3.10%176.4k","6.60%","64","19.36%","49.1",""
"Changó","172777$3.04%172.8k","14.77%","-","11.98%","48.1",""
"Overbit","172545$3.03%172.5k","10.13%","60","18.79%","48.1",""
"Deadstrike","160932$2.83%160.9k","9.31%","-","16.95%","44.8",""
"Trii","157802$2.77%157.8k","7.78%","62","12.85%","43.9",""
"Thamir","144169$2.53%144.2k","7.58%","-","13.45%","40.2",""
"Chainguin","126860$2.23%126.9k","9.75%","-","11.34%","35.3",""
"Nakur","62805$1.10%62.8k","10.17%","-","3.59%","17.5",""
"Funk","59080$1.04%59.1k","9.58%","60","1.96%","16.5",""
"Phugoid","58551$1.03%58.6k","12.23%","-","2.09%","16.3",""
"Tazdink","57352$1.01%57.4k","8.08%","53","2.76%","16.0",""
"Enders","56139$0.99%56.1k","7.62%","61","1.85%","15.6",""
"Gonz","54329$0.95%54.3k","13.55%","-","2.23%","15.1",""
"Fossett","54264$0.95%54.3k","9.74%","62","3.66%","15.1",""
"Ghazan","53590$0.94%53.6k","9.80%","-","3.41%","14.9",""
"Disk","51591$0.91%51.6k","8.58%","-","2.17%","14.4",""
"Mogs","51200$0.90%51.2k","13.35%","-","2.96%","14.3",""
"Ultimecia","50850$0.89%50.9k","8.79%","64","2.61%","14.2",""
"Jiero","49637$0.87%49.6k","12.44%","66","2.16%","13.8",""
"Deyn","48013$0.84%48.0k","9.79%","63","2.27%","13.4",""
"Grimmeat","47792$0.84%47.8k","8.30%","56","1.62%","13.3",""
"Milku","46564$0.82%46.6k","8.15%","58","2.14%","13.0",""
"Hoebowjoe","44689$0.79%44.7k","7.91%","-","2.57%","12.4",""
"Mexius","44231$0.78%44.2k","12.29%","-","1.92%","12.3",""
"Melven","44090$0.77%44.1k","17.47%","60","1.85%","12.3",""
"Cavander","42456$0.75%42.5k","13.09%","62","2.19%","11.8",""
"Dietolive","42017$0.74%42.0k","13.29%","-","1.34%","11.7",""
"Saphex","38598$0.68%38.6k","11.62%","56","2.35%","10.7",""
"Ishney","29569$0.52%29.6k","4.11%","-","0.94%","8.2",""
"Grimseeker","29310$0.52%29.3k","9.17%","64","0.96%","8.2",""
"Necrohealya","27155$0.48%27.2k","5.31%","57","1.08%","7.6",""
"Diip","9526$0.17%9.5k","5.51%","55","0.00%","2.7",""
