"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"41","Akecheta","1106895$4.48%1.11m","-","36","73.48%","319.4",""
"39","Danty","1076955$4.36%1.08m","-","33","65.29%","310.8",""
"34","Changó","1075421$4.35%1.08m","-","28","65.82%","310.3",""
"58","Ultimecia","1037073$4.20%1.04m","-","50","67.31%","299.3",""
"30","Dohvyk","1016454$4.11%1.02m","-","23","64.65%","293.3",""
"45","Jáx","1008092$4.08%1.01m","-","82","63.84%","290.9",""
"42","Parisshelton","1001829$4.05%1.00m","-","50","56.05%","289.1",""
"33","Hoebowjoe","957108$3.87%957.1k","-","40","50.58%","276.2",""
"55","Dietolive","932075$3.77%932.1k","-","51","64.36%","269.0",""
"38","Dirtÿ","929172$3.76%929.2k","-","31","49.24%","268.1",""
"31","Stankdik","900942$3.65%900.9k","67","44","56.23%","260.0",""
"37","Kirilov","899354$3.64%899.4k","-","35","53.45%","259.5",""
"25","Dankling","895540$3.62%895.5k","-","22","63.62%","258.4",""
"24","Deadstrike","883122$3.57%883.1k","-","27","62.79%","254.9",""
"28","Smitty","869650$3.52%869.7k","67","36","58.58%","251.0",""
"58","Jiero","857907$3.47%857.9k","-","63","67.47%","247.6",""
"40","Gaunz","835978$3.38%836.0k","-","48","59.39%","241.2",""
"49","Guliveris","830947$3.36%830.9k","-","43","73.83%","239.8",""
"37","Valara","815892$3.30%815.9k","-","45","51.76%","235.5",""
"60","Bandakar","806549$3.26%806.5k","-","64","80.57%","232.8",""
"16","Furckinstein","758534$3.07%758.5k","-","11","64.31%","218.9",""
"30","Ishney","746875$3.02%746.9k","-","27","65.10%","215.5",""
"31","Marrco","706776$2.86%706.8k","-","40","58.39%","204.0",""
"43","Ratshot","637214$2.58%637.2k","61","75","50.90%","183.9",""
"39","Fossett","606214$2.45%606.2k","-","34","53.17%","174.9",""
"20","Seadub","593280$2.40%593.3k","-","15","55.24%","171.2",""
"56","Pemberstone","525698$2.13%525.7k","-","54","69.67%","151.7",""
"9","Irisviiel","511396$2.07%511.4k","-","35","54.88%","147.6",""
"50","Crox","461120$1.87%461.1k","-","56","73.02%","133.1",""
"74","Ghazan","295476$1.20%295.5k","-","72","27.74%","85.3",""
"44","Buffymctank","64081$0.26%64.1k","64","53","5.26%","18.5",""
"86","Pythagorean","35292$0.14%35.3k","-","86","3.31%","10.2",""
"95","Enders","9464$0.04%9.5k","-","95","0.81%","2.7",""
"85","Slecht","9340$0.04%9.3k","67","87","1.81%","2.7",""
"87","Deyn","5562$0.02%5.6k","-","85","0.95%","1.6",""
"50","Tauraheim","4776$0.02%4.8k","-","51","0.67%","1.4",""
"77","Wangcake","2158$0.01%2.2k","-","77","0.00%","0.6",""
"75","Yunghelga","1716$0.01%1.7k","-","78","0.00%","0.5",""
"-","Terylseven","1399$0.01%1.4k","47","-","0.00%","0.4",""
"-","Gwazi","1235$0.00%1.2k","56","-","0.00%","0.4",""
"-","Dingette","792$0.00%792.0","59","-","0.00%","0.2",""
"-","Sushimage","596$0.00%596.0","57","-","0.00%","0.2",""
"-","Eighchbar","350$0.00%350.0","-","-","0.00%","0.1",""
"91","Shelton","287$0.00%287.0","66","87","0.00%","0.1",""
"-","Malron","217$0.00%217.0","28","-","0.00%","0.1",""
"-","Roszys","33$0.00%33.0","5","-","0.00%","0.0",""
"-","Deux","25$0.00%25.0","49","-","0.00%","0.0",""
