"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Crox","1068245$17.04%1.07m","55.57%","-","71.56%","307.8",""
"Bandakar","662075$10.56%662.1k","49.31%","62","48.29%","190.8",""
"Darunor","388696$6.20%388.7k","40.65%","-","34.19%","112.0",""
"Danty","354339$5.65%354.3k","39.67%","-","31.10%","102.1",""
"Akecheta","259341$4.14%259.3k","5.27%","62","19.69%","74.7",""
"Trike","247107$3.94%247.1k","11.58%","-","20.50%","71.2",""
"Furckinstein","244969$3.91%245.0k","37.77%","-","22.91%","70.6",""
"Flatzz","229043$3.65%229.0k","21.61%","62","21.46%","66.0",""
"Pemberstone","200831$3.20%200.8k","3.85%","-","19.21%","57.9",""
"Minuteman","191696$3.06%191.7k","5.11%","61","19.56%","55.2",""
"Impervious","187481$2.99%187.5k","10.43%","60","17.10%","54.0",""
"Chingu","171628$2.74%171.6k","4.05%","54","15.71%","49.5",""
"Changó","168322$2.68%168.3k","14.33%","-","18.19%","48.5",""
"Deadstrike","161214$2.57%161.2k","7.08%","61","18.51%","46.5",""
"Overbit","157798$2.52%157.8k","10.12%","-","17.55%","45.5",""
"Chainguin","131228$2.09%131.2k","13.11%","-","16.63%","37.8",""
"Trii","117683$1.88%117.7k","9.26%","63","11.09%","33.9",""
"Mexius","88090$1.41%88.1k","10.59%","-","6.14%","25.4",""
"Deyn","84911$1.35%84.9k","10.34%","63","3.68%","24.5",""
"Gonz","80798$1.29%80.8k","8.78%","65","5.96%","23.3",""
"Enders","76762$1.22%76.8k","3.91%","63","3.03%","22.1",""
"Nakur","74536$1.19%74.5k","11.60%","64","4.71%","21.5",""
"Fossett","69218$1.10%69.2k","6.91%","-","4.69%","19.9",""
"Milku","67302$1.07%67.3k","13.36%","65","3.03%","19.4",""
"Derka","66386$1.06%66.4k","12.17%","-","4.09%","19.1",""
"Jiero","64754$1.03%64.8k","18.21%","66","3.35%","18.7",""
"Necrohealya","63067$1.01%63.1k","6.52%","62","2.82%","18.2",""
"Funk","59835$0.95%59.8k","7.53%","60","4.09%","17.2",""
"Cavander","55813$0.89%55.8k","11.75%","62","1.78%","16.1",""
"Pythagorean","50431$0.80%50.4k","7.66%","-","1.26%","14.5",""
"Tazdink","49533$0.79%49.5k","13.53%","-","3.08%","14.3",""
"Mogs","47922$0.76%47.9k","9.84%","62","1.70%","13.8",""
"Hoebowjoe","46218$0.74%46.2k","8.94%","62","2.74%","13.3",""
"Valara","42007$0.67%42.0k","12.55%","60","1.48%","12.1",""
"Eighchbar","41978$0.67%42.0k","5.65%","55","2.05%","12.1",""
"Claudiu","41545$0.66%41.5k","8.06%","60","1.11%","12.0",""
"Ishney","41498$0.66%41.5k","8.74%","58","1.57%","12.0",""
"Ghazan","40108$0.64%40.1k","23.13%","-","1.27%","11.6",""
"Hii","38453$0.61%38.5k","13.35%","-","1.64%","11.1",""
"Dadikins","36235$0.58%36.2k","7.27%","58","1.29%","10.4",""
