"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"83","Parisshelton","896912$4.92%896.9k","-","67","54.20%","375.2",""
"91","Duhd","896145$4.92%896.1k","74","85","54.07%","374.9",""
"74","Nimda","892301$4.90%892.3k","69","80","65.41%","373.3",""
"59","Akecheta","885836$4.86%885.8k","-","50","75.34%","370.6",""
"65","Dohvyk","867693$4.76%867.7k","-","60","74.58%","363.0",""
"57","Flatzz","797621$4.38%797.6k","-","50","64.45%","333.7",""
"63","Synergy","770397$4.23%770.4k","-","45","67.52%","322.3",""
"41","Deadstrike","728979$4.00%729.0k","74","31","67.57%","304.9",""
"48","Gaunz","696224$3.82%696.2k","73","35","53.83%","291.2",""
"40","Renke","647187$3.55%647.2k","-","53","64.06%","270.7",""
"62","Irisviiel","645864$3.55%645.9k","77","31","72.13%","270.2",""
"34","Johnnylol","644582$3.54%644.6k","68","41","71.12%","269.6",""
"42","Melow","631058$3.46%631.1k","-","54","63.86%","264.0",""
"28","Accessdenied","617119$3.39%617.1k","72","24","70.56%","258.1",""
"53","Furckinstein","600370$3.30%600.4k","-","44","52.42%","251.1",""
"77","Ratshot","596397$3.27%596.4k","68","78","53.45%","249.5",""
"33","Sepitus","592160$3.25%592.2k","-","47","66.70%","247.7",""
"39","Urumettu","589600$3.24%589.6k","74","22","64.23%","246.6",""
"51","Trolleficent","588504$3.23%588.5k","66","59","53.28%","246.2",""
"37","Melven","565890$3.11%565.9k","70","45","48.82%","236.7",""
"30","Seadub","542248$2.98%542.2k","72","21","54.26%","226.8",""
"46","Garglegop","541675$2.97%541.7k","72","38","69.35%","226.6",""
"36","Ishney","501768$2.75%501.8k","73","27","57.94%","209.9",""
"47","Bandakar","472906$2.60%472.9k","-","53","69.96%","197.8",""
"46","Guliveris","434850$2.39%434.9k","-","46","73.54%","181.9",""
"66","Pemberstone","408743$2.24%408.7k","-","56","64.72%","171.0",""
"20","Mortifier","292256$1.60%292.3k","-","18","63.42%","122.3",""
"17","Thoominn","270095$1.48%270.1k","56","43*","52.26%","113.0",""
"35","Dieto","269208$1.48%269.2k","-","51","35.01%","112.6",""
"23","Muja","206796$1.14%206.8k","-","22","10.43%","86.5",""
"94","Ghazan","68069$0.37%68.1k","-","94","9.14%","28.5",""
"94","Shamallama","27168$0.15%27.2k","71","94","2.75%","11.4",""
"89","Pythagorean","13367$0.07%13.4k","75","87","2.03%","5.6",""
"98","Slecht","11078$0.06%11.1k","71","99","1.86%","4.6",""
"96","Tauraheim","4515$0.02%4.5k","72","97","1.96%","1.9",""
"-","Eighchbar","344$0.00%344.0","71","-","0.00%","0.1",""
"-","Lumieux","154$0.00%154.0","68","-","0.00%","0.1",""
