"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"43","Milku","313814$10.47%313.8k","32.74%","62","47","73.89%","176.7",""
"34","Derka","309300$10.32%309.3k","33.67%","62","47","62.88%","174.1",""
"25","Gonz","298686$9.97%298.7k","13.53%","63","23","42.54%","168.2",""
"30","Enders","261451$8.72%261.5k","19.36%","60","52","60.99%","147.2",""
"20","Deyn","250820$8.37%250.8k","26.66%","62","20","42.03%","141.2",""
"29","Pythagorean","242668$8.10%242.7k","24.35%","-","45","61.92%","136.6",""
"20","Ghazan","241274$8.05%241.3k","17.04%","60","33","42.35%","135.8",""
"23","Phugoid","231186$7.71%231.2k","24.95%","61","37","56.59%","130.2",""
"33","Nakur","228826$7.64%228.8k","41.70%","62","37","62.59%","128.8",""
"14","Necrohealya","205170$6.85%205.2k","32.57%","-","19","56.26%","115.5",""
"21","Darunor","59828$2.00%59.8k","16.97%","-","36","15.06%","33.7",""
"80","Ultimecia","32771$1.09%32.8k","16.23%","64","79","17.01%","18.5",""
"67","Hoebowjoe","23551$0.79%23.6k","-","61","65","1.87%","13.3",""
"68","Cavander","22985$0.77%23.0k","23.78%","62","68","4.90%","12.9",""
"73","Dietolive","20356$0.68%20.4k","12.32%","59","75","26.62%","11.5",""
"59","Mogs","19149$0.64%19.1k","4.96%","-","57","2.42%","10.8",""
"59","Fossett","17392$0.58%17.4k","-","62","60","2.84%","9.8",""
"39","Changó","15514$0.52%15.5k","18.10%","-","36","35.25%","8.7",""
"29","Spindle","14106$0.47%14.1k","2.19%","55","40","14.20%","7.9",""
"56","Minuteman","12455$0.42%12.5k","0.08%","58","66","1.34%","7.0",""
"44","Danty","12439$0.42%12.4k","23.59%","61","40","23.23%","7.0",""
"43","Muhhgi","12040$0.40%12.0k","10.08%","59","43","20.17%","6.8",""
"76","Jiero","11986$0.40%12.0k","-","66","75","0.96%","6.7",""
"54","Mexius","11930$0.40%11.9k","14.14%","62","53","4.15%","6.7",""
"46","Kirilov","11209$0.37%11.2k","24.60%","-","51","3.90%","6.3",""
"62","Crox","11066$0.37%11.1k","6.76%","-","63","2.32%","6.2",""
"57","Dankling","10243$0.34%10.2k","-","50","82","0.75%","5.8",""
"36","Impervious","9364$0.31%9.4k","13.01%","-","38","30.37%","5.3",""
"34","Grimmeat","9220$0.31%9.2k","-","55","35","0.63%","5.2",""
"64","Ezri","9089$0.30%9.1k","-","58","70","0.57%","5.1",""
"48","Trike","8508$0.28%8.5k","15.46%","-","48","13.80%","4.8",""
"33","Furckinstein","8328$0.28%8.3k","12.64%","60","32","1.60%","4.7",""
"26","Akecheta","7420$0.25%7.4k","11.61%","-","24","1.87%","4.2",""
"51","Bandakar","6925$0.23%6.9k","-","-","48","1.44%","3.9",""
"29","Overbit","6754$0.23%6.8k","14.10%","60","36","1.59%","3.8",""
"28","Funk","6698$0.22%6.7k","-","60","24","0.00%","3.8",""
"37","Trii","6651$0.22%6.7k","-","61","39","0.57%","3.7",""
"31","Deadstrike","5344$0.18%5.3k","-","59","36","0.66%","3.0",""
"28","Chainguin","4492$0.15%4.5k","-","-","27","0.00%","2.5",""
"36","Ishney","2731$0.09%2.7k","-","58","39","0.00%","1.5",""
"-","Rácheál","2033$0.07%2.0k","23.14%","61","-","0.62%","1.1",""
"-","Nothernsleen","836$0.03%836.0","-","59","-","0.00%","0.5",""
"-","Karlov","299$0.01%299.0","20.90%","59","-","0.00%","0.2",""
"-","Kawrant","138$0.00%138.0","-","56","-","0.00%","0.1",""
