"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"84","Dietolive","976111$9.45%976.1k","-","82","60.03%","300.1",""
"74","Ultimecia","947693$9.18%947.7k","72","61","64.97%","291.3",""
"54","Stankdik","853599$8.27%853.6k","69","50","67.49%","262.4",""
"36","Trolleficent","804233$7.79%804.2k","65","48","58.70%","247.2",""
"51","Dryrun","770776$7.47%770.8k","63","74","58.80%","237.0",""
"51","Bandakar","756541$7.33%756.5k","73","58","86.09%","232.6",""
"39","Danty","735984$7.13%736.0k","68","26","67.88%","226.3",""
"52","Seadub","676965$6.56%677.0k","69","46","50.82%","208.1",""
"25","Irisviiel","646761$6.26%646.8k","71","17","60.20%","198.8",""
"33","Gonz","630667$6.11%630.7k","-","39","49.74%","193.9",""
"24","Dïrty","575421$5.57%575.4k","-","18","68.19%","176.9",""
"55","Fossett","511378$4.95%511.4k","-","39","46.13%","157.2",""
"54","Guliveris","499161$4.83%499.2k","-","47","62.25%","153.5",""
"43","Crox","420943$4.08%420.9k","-","36","67.43%","129.4",""
"3","Furkinstine","338193$3.28%338.2k","48","-","45.27%","104.0",""
"-","Mad Servant","78257$0.76%78.3k","-","-","2.83%","24.1",""
"81","Pythagorean","57827$0.56%57.8k","70","81","3.55%","17.8",""
"84","Slecht","26045$0.25%26.0k","-","84","7.59%","8.0",""
"84","Necrohealya","12068$0.12%12.1k","-","83","1.37%","3.7",""
"31","Deyn","3242$0.03%3.2k","71","28","0.58%","1.0",""
"36","Eighchbar","2342$0.02%2.3k","-","37","0.58%","0.7",""
