"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Guliveris","1117761$12.35%1.12m","53.29%","-","45.00%","291.7",""
"Pemberstone","748428$8.27%748.4k","58.95%","-","37.44%","195.3",""
"Furckinstein","591953$6.54%592.0k","47.52%","-","32.05%","154.5",""
"Garglegop","422273$4.67%422.3k","51.12%","-","25.89%","110.2",""
"Bandakar","409133$4.52%409.1k","52.95%","-","24.28%","106.8",""
"Akecheta","377629$4.17%377.6k","34.45%","-","21.19%","98.5",""
"Dohvyk","328887$3.63%328.9k","39.71%","-","15.44%","85.8",""
"Gaunz","300363$3.32%300.4k","37.51%","-","12.94%","78.4",""
"Flatzz","268768$2.97%268.8k","36.57%","-","15.70%","70.1",""
"Decimous","267095$2.95%267.1k","45.37%","-","14.37%","69.7",""
"Renke","261151$2.89%261.2k","21.34%","-","11.81%","68.1",""
"Ultimecia","248039$2.74%248.0k","48.47%","-","9.74%","64.7",""
"Melow","228098$2.52%228.1k","17.17%","68","9.31%","59.5",""
"Johnnylol","225521$2.49%225.5k","22.53%","-","12.23%","58.9",""
"Deadstrike","220736$2.44%220.7k","20.65%","-","11.52%","57.6",""
"Thoominn","210098$2.32%210.1k","18.02%","-","8.83%","54.8",""
"Nimda","201686$2.23%201.7k","25.30%","-","9.13%","52.6",""
"Synergy","179435$1.98%179.4k","24.46%","-","8.52%","46.8",""
"Sepitus","174032$1.92%174.0k","18.77%","70","9.06%","45.4",""
"Seadub","155085$1.71%155.1k","13.22%","72","8.61%","40.5",""
"Duhd","145318$1.61%145.3k","11.70%","-","9.81%","37.9",""
"Tauraheim","138173$1.53%138.2k","15.36%","73","7.18%","36.1",""
"Ghazan","128528$1.42%128.5k","17.84%","73","6.98%","33.5",""
"Dietolive","124599$1.38%124.6k","15.58%","-","6.40%","32.5",""
"Milku","116993$1.29%117.0k","13.11%","74","7.87%","30.5",""
"Pythagorean","107640$1.19%107.6k","10.66%","-","5.32%","28.1",""
"Deyn","107446$1.19%107.4k","14.55%","-","6.57%","28.0",""
"Drgupta","106985$1.18%107.0k","17.59%","70","5.36%","27.9",""
"Slecht","106145$1.17%106.1k","9.44%","-","5.84%","27.7",""
"Eighchbar","104659$1.16%104.7k","10.13%","71","6.55%","27.3",""
"Wangcake","103829$1.15%103.8k","8.83%","74","4.21%","27.1",""
"Ratshot","102937$1.14%102.9k","11.63%","-","4.10%","26.9",""
"Shamallama","100302$1.11%100.3k","22.99%","71","6.58%","26.2",""
"Lumieux","95525$1.06%95.5k","13.35%","-","5.00%","24.9",""
"Parisshelton","91739$1.01%91.7k","9.65%","-","6.18%","23.9",""
"Olom","90866$1.00%90.9k","16.64%","-","5.66%","23.7",""
"Melven","88740$0.98%88.7k","12.23%","70","4.95%","23.2",""
"Ishney","84807$0.94%84.8k","25.41%","-","5.38%","22.1",""
"Irisviiel","79885$0.88%79.9k","21.23%","-","5.33%","20.8",""
"Necrohealya","72978$0.81%73.0k","14.94%","-","3.60%","19.0",""
"Kasako","17280$0.19%17.3k","31.52%","65","0.00%","4.5",""
