"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"54","Jiero","141399$10.08%141.4k","66","41","65.24%","227.9",""
"27","Kirilov","94293$6.72%94.3k","63","33","60.73%","152.0",""
"33","Ultimecia","93539$6.67%93.5k","64","27","77.92%","150.8",""
"26","Deadstrike","92927$6.62%92.9k","59","57","66.45%","149.8",""
"16","Hoebowjoe","77869$5.55%77.9k","61","19","61.83%","125.5",""
"45","Crox","76981$5.49%77.0k","61","70","79.45%","124.1",""
"17","Trii","75055$5.35%75.1k","61","30","56.86%","121.0",""
"8","Funk","67122$4.78%67.1k","61","9","41.07%","108.2",""
"9","Ishney","66751$4.76%66.8k","59","26","55.96%","107.6",""
"9","Mexius","61884$4.41%61.9k","62","9","39.54%","99.7",""
"8","Mogs","61078$4.35%61.1k","-","8","42.10%","98.5",""
"8","Fossett","52988$3.78%53.0k","59","12","39.16%","85.4",""
"18","Furckinstein","48533$3.46%48.5k","58","69","68.18%","78.2",""
"6","Dietolive","47615$3.39%47.6k","60","7","30.96%","76.7",""
"5","Cavander","44277$3.16%44.3k","62","5","30.99%","71.4",""
"6","Chainguin","42705$3.04%42.7k","-","8","46.58%","68.8",""
"12","Muhhgi","39854$2.84%39.9k","59","22","34.23%","64.2",""
"11","Trike","39572$2.82%39.6k","59","21","37.23%","63.8",""
"6","Minuteman","35561$2.53%35.6k","58","9","22.84%","57.3",""
"10","Akecheta","35319$2.52%35.3k","60","16","26.63%","56.9",""
"9","Darunor","31157$2.22%31.2k","-","10","46.45%","50.2",""
"4","Thicc","27751$1.98%27.8k","58","7","27.91%","44.7",""
"-","Mortifier","20538$1.46%20.5k","57","-","34.13%","33.1",""
"3","Thamir","19250$1.37%19.3k","59","4","18.99%","31.0",""
"80","Gonz","4891$0.35%4.9k","63","80","8.35%","7.9",""
"81","Nakur","3713$0.26%3.7k","62","85","13.62%","6.0",""
"44","Enders","235$0.02%235.0","61","47","0.00%","0.4",""
"46","Ghazan","86$0.01%86.0","60","57","0.00%","0.1",""
