"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Crox","71491$20.51%71.5k","46.73%","66","56.12%","284.9",""
"Danty","26969$7.74%27.0k","44.23%","61","28.38%","107.5",""
"Changó","17249$4.95%17.2k","9.67%","65","2.80%","68.7",""
"Darunor","15763$4.52%15.8k","25.99%","60","9.00%","62.8",""
"Ultimecia","12908$3.70%12.9k","10.17%","66","2.90%","51.4",""
"Bandakar","12345$3.54%12.3k","36.56%","61","7.25%","49.2",""
"Flatzz","10781$3.09%10.8k","9.43%","63","1.94%","43.0",""
"Phugoid","9842$2.82%9.8k","14.07%","66","3.07%","39.2",""
"Claudiu","8984$2.58%9.0k","12.93%","63","3.56%","35.8",""
"Furckinstein","8701$2.50%8.7k","36.17%","63","5.64%","34.7",""
"Mementomory","8491$2.44%8.5k","6.42%","54","1.77%","33.8",""
"Muhhgi","8380$2.40%8.4k","15.80%","62","4.03%","33.4",""
"Tazdink","8306$2.38%8.3k","21.43%","63","0.00%","33.1",""
"Fossett","7950$2.28%8.0k","18.30%","64","2.43%","31.7",""
"Slecht","7261$2.08%7.3k","-","56","0.00%","28.9",""
"Minuteman","7222$2.07%7.2k","10.32%","62","5.01%","28.8",""
"Dietolive","6841$1.96%6.8k","6.18%","-","0.00%","27.3",""
"Impervious","6794$1.95%6.8k","14.74%","62","5.95%","27.1",""
"Nakur","6413$1.84%6.4k","44.51%","65","3.17%","25.6",""
"Milku","5683$1.63%5.7k","11.84%","66","0.81%","22.7",""
"Deyn","5425$1.56%5.4k","21.86%","64","2.26%","21.6",""
"Enders","5251$1.51%5.3k","9.79%","64","3.26%","20.9",""
"Chainguin","5123$1.47%5.1k","25.06%","64","1.35%","20.4",""
"Hoebowjoe","5043$1.45%5.0k","9.25%","64","0.00%","20.1",""
"Valara","5011$1.44%5.0k","16.91%","64","0.00%","20.0",""
"Takanu","4878$1.40%4.9k","-","54","0.00%","19.4",""
"Deadstrike","4613$1.32%4.6k","20.29%","63","1.77%","18.4",""
"Pythagorean","4551$1.31%4.6k","8.74%","63","0.00%","18.1",""
"Jiero","4449$1.28%4.4k","18.58%","67","0.00%","17.7",""
"Ghazan","4291$1.23%4.3k","13.97%","59","0.00%","17.1",""
"Overbit","4107$1.18%4.1k","18.38%","61","0.00%","16.4",""
"Pemberstone","3910$1.12%3.9k","24.39%","-","0.00%","15.6",""
"Gaunz","3533$1.01%3.5k","-","61","0.00%","14.1",""
"Cavander","3480$1.00%3.5k","-","62","0.00%","13.9",""
"Eighchbar","3471$1.00%3.5k","-","59","0.00%","13.8",""
"Grimseeker","3262$0.94%3.3k","21.28%","65","0.66%","13.0",""
"Chingu","3081$0.88%3.1k","26.40%","60","0.00%","12.3",""
"Trii","2926$0.84%2.9k","16.26%","65","0.00%","11.7",""
"Dirtypantiz","2774$0.80%2.8k","34.65%","60","2.42%","11.1",""
"Kirilov","1074$0.31%1.1k","49.98%","65","0.00%","4.3",""
