"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"78","Milku","48458$18.39%48.5k","44.80%","59","94","87.40%","135.1",""
"56","Enders","42255$16.03%42.3k","42.54%","61","75","59.09%","117.8",""
"42","Disk","34713$13.17%34.7k","37.18%","64","40","76.87%","96.8",""
"44","Deyn","29329$11.13%29.3k","48.18%","63","41","36.66%","81.7",""
"11","Phugoid","21594$8.19%21.6k","39.84%","63","12","26.96%","60.2",""
"20","Ghazan","20559$7.80%20.6k","49.00%","-","18","26.43%","57.3",""
"22","Gonz","18771$7.12%18.8k","23.58%","63","19","17.28%","52.3",""
"5","Tazdink","10024$3.80%10.0k","32.39%","54","9*","8.80%","27.9",""
"31","Necrohealya","4517$1.71%4.5k","48.86%","62","31","5.29%","12.6",""
"95","Grimmeat","4344$1.65%4.3k","-","56","95","3.94%","12.1",""
"93","Changó","3761$1.43%3.8k","9.04%","63","92","22.31%","10.5",""
"90","Crox","2946$1.12%2.9k","6.68%","-","90","0.00%","8.2",""
"94","Grimseeker","2764$1.05%2.8k","-","64","94","0.00%","7.7",""
"85","Kirilov","2527$0.96%2.5k","18.88%","64","84","4.27%","7.0",""
"81","Impervious","2214$0.84%2.2k","29.71%","59","82","31.49%","6.2",""
"81","Darunor","2180$0.83%2.2k","-","-","82","0.00%","6.1",""
"77","Muhhgi","2033$0.77%2.0k","12.45%","60","76","32.60%","5.7",""
"60","Ultimecia","1962$0.74%2.0k","26.87%","64","59","9.24%","5.5",""
"69","Overbit","1456$0.55%1.5k","19.11%","60","70","2.22%","4.1",""
"50","Dietolive","1440$0.55%1.4k","-","-","53","0.00%","4.0",""
"69","Trii","1368$0.52%1.4k","18.67%","62","69","1.25%","3.8",""
"62","Danty","1110$0.42%1.1k","51.19%","61","65","19.90%","3.1",""
"48","Funk","859$0.33%859.0","-","61","48","0.00%","2.4",""
"48","Hoebowjoe","855$0.32%855.0","-","61","48","0.00%","2.4",""
"48","Claudiu","846$0.32%846.0","-","58","48","0.00%","2.4",""
"27","Mexius","390$0.15%390.0","50.00%","63","27","7.56%","1.1",""
"20","Bandakar","110$0.04%110.0","45.81%","-","19","0.00%","0.3",""
"20","Furckinstein","85$0.03%85.0","81.48%","61","19","0.56%","0.2",""
"20","Akecheta","80$0.03%80.0","91.04%","61","19","21.10%","0.2",""
