"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"81","Milku","996976$10.58%997.0k","39.12%","-","80","64.94%","216.8",""
"55","Deyn","988784$10.49%988.8k","28.27%","-","62","44.48%","215.0",""
"54","Wangcake","951476$10.10%951.5k","32.65%","72","59","68.04%","206.9",""
"68","Pythagorean","923105$9.80%923.1k","28.50%","-","75","58.63%","200.7",""
"78","Eighchbar","830605$8.81%830.6k","34.14%","-","81","61.43%","180.6",""
"51","Drgupta","827977$8.79%828.0k","31.11%","68","64","51.12%","180.1",""
"65","Slecht","738056$7.83%738.1k","35.78%","70","74","62.14%","160.5",""
"74","Tauraheim","722380$7.67%722.4k","38.90%","-","78","54.97%","157.1",""
"33","Necrohealya","720670$7.65%720.7k","40.85%","-","40","60.87%","156.7",""
"28","Ghazan","650057$6.90%650.1k","26.96%","-","33","42.10%","141.4",""
"19","Lumieux","484274$5.14%484.3k","38.64%","63","49","43.32%","105.3",""
"79","Ultimecia","54606$0.58%54.6k","16.81%","-","80","2.01%","11.9",""
"86","Guliveris","44279$0.47%44.3k","25.94%","-","87","37.70%","9.6",""
"88","Pemberstone","41844$0.44%41.8k","26.63%","-","89","6.85%","9.1",""
"63","Akecheta","40324$0.43%40.3k","31.32%","-","66","41.74%","8.8",""
"66","Changó","39716$0.42%39.7k","31.48%","-","68","48.41%","8.6",""
"90","Dietolive","37232$0.40%37.2k","10.64%","-","90","1.13%","8.1",""
"86","Gaunz","31232$0.33%31.2k","1.51%","-","86","0.65%","6.8",""
"74","Bandakar","30961$0.33%31.0k","25.53%","-","75","36.59%","6.7",""
"61","Furckinstein","30688$0.33%30.7k","28.49%","-","60","34.03%","6.7",""
"69","Kirilov","29017$0.31%29.0k","43.91%","74","66","14.52%","6.3",""
"55","Dohvyk","28070$0.30%28.1k","31.88%","-","55","38.66%","6.1",""
"73","Flatzz","22323$0.24%22.3k","26.63%","-","74","32.89%","4.9",""
"57","Dïrty","19721$0.21%19.7k","29.03%","-","64","24.79%","4.3",""
"64","Synergy","17628$0.19%17.6k","26.71%","67","64","2.05%","3.8",""
"74","Stankdik","17433$0.19%17.4k","9.06%","-","76","0.90%","3.8",""
"91","Parisshelton","13495$0.14%13.5k","0.87%","70","90","0.65%","2.9",""
"95","Ugara","12631$0.13%12.6k","7.10%","63","97","0.79%","2.7",""
"35","Mortifier","11378$0.12%11.4k","11.24%","-","33","0.80%","2.5",""
"88","Jáx","11302$0.12%11.3k","-","-","85","0.55%","2.5",""
"56","Deadstrike","10353$0.11%10.4k","-","-","57","0.59%","2.3",""
"55","Dryrun","9532$0.10%9.5k","-","70","52","0.00%","2.1",""
"90","Melven","7141$0.08%7.1k","-","62","89","0.00%","1.6",""
"-","Urumettu","5866$0.06%5.9k","-","-","-","0.00%","1.3",""
"59","Seadub","5572$0.06%5.6k","10.24%","-","56","0.00%","1.2",""
"95","Ishney","4646$0.05%4.6k","9.72%","-","94","0.00%","1.0",""
"90","Jiero","4557$0.05%4.6k","-","-","91","0.00%","1.0",""
"88","Irisviiel","3845$0.04%3.8k","-","-","90","0.00%","0.8",""
"90","Duhd","2948$0.03%2.9k","-","70","89","0.00%","0.6",""
