"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"44","Deyn","832512$10.77%832.5k","29.73%","-","41","43.83%","184.9",""
"53","Wangcake","808238$10.46%808.2k","36.80%","-","53","77.40%","179.5",""
"66","Eighchbar","786956$10.18%787.0k","33.64%","-","75","75.01%","174.8",""
"55","Pythagorean","779750$10.09%779.8k","30.18%","-","56","59.64%","173.2",""
"46","Enders","705898$9.13%705.9k","38.59%","68","51","62.94%","156.8",""
"56","Milku","656711$8.50%656.7k","40.47%","70","53","74.06%","145.9",""
"40","Shelton","604659$7.82%604.7k","27.23%","-","60","59.88%","134.3",""
"47","Slecht","597083$7.72%597.1k","37.26%","-","68","71.02%","132.6",""
"28","Gonz","543033$7.03%543.0k","21.54%","-","31","27.88%","120.6",""
"37","Ratshot","519124$6.72%519.1k","40.53%","63","60","65.49%","115.3",""
"29","Ghazan","413472$5.35%413.5k","23.16%","-","26","22.43%","91.8",""
"91","Hoebowjoe","64092$0.83%64.1k","1.72%","-","91","6.23%","14.2",""
"79","Jáx","32396$0.42%32.4k","-","64","80","4.32%","7.2",""
"52","Fossett","30773$0.40%30.8k","0.31%","-","53","1.45%","6.8",""
"73","Bandakar","29955$0.39%30.0k","27.28%","-","77","41.27%","6.7",""
"81","Ultimecia","27698$0.36%27.7k","34.46%","-","80","2.13%","6.2",""
"64","Akecheta","26971$0.35%27.0k","42.08%","-","62","53.45%","6.0",""
"63","Changó","25296$0.33%25.3k","41.57%","-","61","52.95%","5.6",""
"50","Leetwreck","22903$0.30%22.9k","43.92%","65","47","56.44%","5.1",""
"74","Dietolive","21101$0.27%21.1k","5.66%","-","75","0.57%","4.7",""
"77","Stankdik","19876$0.26%19.9k","29.11%","62","80","4.23%","4.4",""
"87","Pemberstone","19255$0.25%19.3k","39.80%","-","86","4.26%","4.3",""
"60","Danty","18404$0.24%18.4k","40.88%","-","57","30.05%","4.1",""
"60","Valara","17374$0.22%17.4k","1.21%","-","61","2.43%","3.9",""
"51","Guliveris","15829$0.20%15.8k","49.22%","-","49","37.07%","3.5",""
"51","Guki","12766$0.17%12.8k","9.11%","-","54","1.76%","2.8",""
"72","Deadstrike","12000$0.16%12.0k","40.43%","-","76","5.52%","2.7",""
"87","Spicyhot","10231$0.13%10.2k","2.57%","-","88","0.70%","2.3",""
"87","Ishney","10054$0.13%10.1k","15.84%","-","88","1.07%","2.2",""
"69","Kirilov","8864$0.11%8.9k","38.90%","-","72","4.01%","2.0",""
"44","Crox","7998$0.10%8.0k","29.73%","-","44","1.90%","1.8",""
"42","Parisshelton","7771$0.10%7.8k","-","65","43","0.84%","1.7",""
"75","Dankling","7186$0.09%7.2k","32.34%","65","75","0.96%","1.6",""
"83","Jiero","6844$0.09%6.8k","-","-","84","0.73%","1.5",""
"40","Duhd","6151$0.08%6.2k","-","-","45","0.56%","1.4",""
"79","Darunor","5486$0.07%5.5k","21.27%","-","79","0.74%","1.2",""
"36","Furckinstein","4348$0.06%4.3k","44.93%","-","32","1.07%","1.0",""
"16","Dirtÿ","4298$0.06%4.3k","-","-","16","0.00%","1.0",""
"67","Seadub","3004$0.04%3.0k","57.93%","-","67","2.45%","0.7",""
"71","Sur","2924$0.04%2.9k","-","-","71","0.00%","0.6",""
"-","Bigblink","41$0.00%41.0","-","58","-","0.00%","0.0",""
