"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Crox","86471$20.99%86.5k","45.04%","63","49.02%","271.7",""
"Darunor","47135$11.44%47.1k","45.58%","60","26.83%","148.1",""
"Bandakar","27097$6.58%27.1k","41.71%","61","15.58%","85.2",""
"Danty","16926$4.11%16.9k","21.11%","64","8.23%","53.2",""
"Necrohealya","12236$2.97%12.2k","-","58","4.71%","38.5",""
"Muhhgi","11784$2.86%11.8k","10.02%","61","2.81%","37.0",""
"Fossett","11625$2.82%11.6k","11.97%","64","4.13%","36.5",""
"Flatzz","10998$2.67%11.0k","15.80%","61","2.81%","34.6",""
"Milku","10974$2.66%11.0k","17.66%","65","0.51%","34.5",""
"Trii","9936$2.41%9.9k","2.83%","64","2.17%","31.2",""
"Valara","9877$2.40%9.9k","20.60%","62","3.45%","31.0",""
"Chingu","9831$2.39%9.8k","5.41%","58","2.21%","30.9",""
"Phugoid","9459$2.30%9.5k","2.33%","65","2.56%","29.7",""
"Dankling","9318$2.26%9.3k","9.25%","57","1.39%","29.3",""
"Mogs","9092$2.21%9.1k","10.51%","62","1.34%","28.6",""
"Impervious","8337$2.02%8.3k","11.07%","61","4.59%","26.2",""
"Pythagorean","7723$1.87%7.7k","5.70%","62","3.96%","24.3",""
"Minuteman","7329$1.78%7.3k","1.60%","61","1.02%","23.0",""
"Akecheta","7187$1.74%7.2k","5.68%","-","1.91%","22.6",""
"Pemberstone","6789$1.65%6.8k","4.03%","-","2.29%","21.3",""
"Hii","6752$1.64%6.8k","-","63","0.00%","21.2",""
"Deyn","6578$1.60%6.6k","16.66%","64","2.55%","20.7",""
"Changó","6154$1.49%6.2k","5.64%","64","0.00%","19.3",""
"Kirilov","5979$1.45%6.0k","9.64%","65","1.26%","18.8",""
"Chainguin","5720$1.39%5.7k","5.94%","64","1.66%","18.0",""
"Deadstrike","5408$1.31%5.4k","2.19%","61","0.00%","17.0",""
"Mexius","5381$1.31%5.4k","21.51%","64","0.91%","16.9",""
"Ghazan","4886$1.19%4.9k","17.65%","63","0.00%","15.4",""
"Nakur","4779$1.16%4.8k","10.24%","64","2.80%","15.0",""
"Funk","4731$1.15%4.7k","17.92%","60","0.00%","14.9",""
"Tazdink","4710$1.14%4.7k","-","60","0.00%","14.8",""
"Grimseeker","4442$1.08%4.4k","-","65","0.00%","14.0",""
"Eighchbar","3791$0.92%3.8k","-","58","0.00%","11.9",""
"Ultimecia","3192$0.77%3.2k","13.78%","64","0.00%","10.0",""
"Melven","2764$0.67%2.8k","14.29%","61","0.00%","8.7",""
"Gonz","2496$0.61%2.5k","51.11%","66","0.64%","7.8",""
"Hoebowjoe","2027$0.49%2.0k","-","62","0.00%","6.4",""
"Jiero","1637$0.40%1.6k","27.85%","67","0.00%","5.1",""
"Bugenhagen","371$0.09%371.0","-","32","1.01%","1.2",""
