"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Furckinstein","196549$21.76%196.5k","49.79%","63","46.71%","204.1",""
"Danty","106599$11.80%106.6k","55.52%","64","28.88%","110.7",""
"Trike","36509$4.04%36.5k","10.90%","-","8.49%","37.9",""
"Nakur","34566$3.83%34.6k","15.46%","-","3.67%","35.9",""
"Darunor","31462$3.48%31.5k","20.73%","-","3.95%","32.7",""
"Grimseeker","31182$3.45%31.2k","10.23%","64","6.44%","32.4",""
"Gonz","29603$3.28%29.6k","24.94%","65","3.15%","30.7",""
"Trii","28587$3.17%28.6k","10.44%","63","1.55%","29.7",""
"Enders","27914$3.09%27.9k","11.03%","63","2.99%","29.0",""
"Ghazan","27402$3.03%27.4k","22.77%","63","3.61%","28.5",""
"Akecheta","26817$2.97%26.8k","18.30%","62","5.51%","27.8",""
"Flatzz","26785$2.97%26.8k","13.44%","62","2.61%","27.8",""
"Deadstrike","26301$2.91%26.3k","14.15%","61","4.76%","27.3",""
"Fossett","26132$2.89%26.1k","9.79%","63","0.00%","27.1",""
"Overbit","24543$2.72%24.5k","11.86%","61","2.80%","25.5",""
"Phugoid","22301$2.47%22.3k","23.18%","64","1.69%","23.2",""
"Milku","21963$2.43%22.0k","6.95%","65","1.47%","22.8",""
"Ultimecia","21736$2.41%21.7k","10.53%","64","1.60%","22.6",""
"Minuteman","21330$2.36%21.3k","5.44%","61","1.34%","22.1",""
"Dirtypantiz","20702$2.29%20.7k","4.86%","53","2.60%","21.5",""
"Dankling","20645$2.29%20.6k","12.70%","56","4.13%","21.4",""
"Mexius","20535$2.27%20.5k","17.63%","64","1.54%","21.3",""
"Cavander","17966$1.99%18.0k","19.50%","62","1.10%","18.7",""
"Ishney","15618$1.73%15.6k","16.63%","58","1.14%","16.2",""
"Marmoose","15429$1.71%15.4k","11.09%","58","0.59%","16.0",""
"Eighchbar","14478$1.60%14.5k","7.07%","55","1.05%","15.0",""
"Valara","9446$1.05%9.4k","17.90%","60","0.64%","9.8",""
